researchlogid	government	researchlogtype	researchlogdate	researchlogvolumefrom	researchlogfrom	researchlogvolumeto	researchlogto	researchlogismissing	researchlognotes	researchlogdisposition	event
1647	5617	89	2016-03-19	Vandergrift Heights	1898	Vandergrift Heights	1914	f			\N
1648	5670	82	2012-02-06					f	"Ordinance 3, enacted 5-Jun-1954, relating to annexation of territory from the Township of Upper Burrell."		\N
1649	5763	82	2013-02-03					f	"The following seven (7) ordinances of the Borough of West Newton, all relating to annexation of territory: Ordinance 6-1947, approved 12-Nov-1947; Ordinance 7-1947, approved 29-Dec-1947; Ordinance 1-1950, approved 6-Apr-1950; Ordinance 5-1953, approved 10-Jul-1953; Ordinance 11-1958, approved 8-Aug-1958; Ordinance 1-1959, approved 19-Feb-1959; & Ordinance 7-1961, approved 15-Dec-1961."		\N
1650	5763	109	2016-08-26					f	I checked the docket, and it appears incorporation is in the index, but the film is so illegible that I could not read the page number, and could not find it on a manual examination.		\N
1651	4638	82	2015-02-15					f	"Ordinance enacted on or about March 8, 1911, concerning annexation of territory."		\N
1654	3755	82	2013-06-04					f	"Ordinance 423, enacted on or about 07-08-1996, as referenced in the attached blotter from the U.S. Census Bureau's Boundary and Annexation Survey (BAS), listing Annexation Data for the years 1991-2000."		\N
1655	3797	82	2014-03-12					f	"*The following nine (9) ordinances of the Borough of Dillsburg, all related to annexation of territory: 113, approved 15-Dec-1959; 132, approved 18-Sep-1962; 134, approved 15-Jan-1963; 144, enacted circa 1965; 148 (1st), approved 8-Sep-1965; 148 (2nd), enacted 29-Oct-1965; 155, approved 21-Nov-1966; 165, enacted circa 1970; & 174, enacted circa 1973. *ALSO: Any copies of petitions to the Board of Elections (excepting pages wholly consisting of signatures), election returns, surveys, or legal descriptions that are on file with the Borough relating to the annexation initiative decided circa 1993, as referenced in the attached blotter from the U.S. Census Bureau's Boundary and Annexation Survey (BAS), listing Annexation Data for the\nyears 1991-2000."		\N
1656	3810	82	2013-02-04					f	"The following (4) ordinances, relating to annexation of territory: Ord., enacted on/about 5-May-1947; Ord. 241, approved 2-Sep-1958; Ord., approved 22-Jul-1959; & Ord., enacted circa 1965."		\N
1657	3895	82	2014-03-12					f	"The following three (3) ordinances of the Borough of East Prospect, all related to annexation of territory: *Ordinance, approved 5-Mar-1923; *Ordinance, approved 27-Dec-1955; & *Ordinance 2-1969, enacted 7-Jan-1969."		\N
1658	3998	82	2014-03-12					f	"Ordinance of the Borough of Fawn Grove, approved December 10, 1968, relating to annexation of territory."		\N
1659	4002	82	2014-03-12					f	"The following two (2) ordinances of the Borough of Felton, both related to annexation of territory: *Ordinance, approved 5-May-1913 & *Ordinance, approved 5-Nov-1928."		\N
1660	4107	82	2012-11-18					f	"Two (2) ordinances of the Borough of Glen Rock, both relating to annexation of territory: 58, dated 16-Jul-1946 & 160, dated 11-Aug-1966."		\N
1661	4112	82	2013-02-04					f	"Ordinance enacted on/about 5-Jan-1931, concerning annexation of territory."		\N
1662	4161	79	2014-03-12					f	"*Ordinance of the Borough of Hallam approved February 21, 1924, relating to annexation of territory. *Any copies of petitions to the Board of Elections (excepting pages wholly consisting of signatures), election returns, or surveys, or legal descriptions that are on file with the Borough relating to the annexation initiative decided at the election held November 8, 1983."		\N
1663	4175	83	2010-11-06					f	"Ten (10) ordinances referenced in Section 150-6 (Annexations) of the codification of ordinances for The Borough of Hanover, namely: 352, dated 02/15/1923; 353, dated 02/15/1923; 354, dated 03/16/1923; 376, dated 07/16/1925; 553, dated 03/15/1939; 953, dated 03/31/1958; 1062, dated 11/23/1960; 1064, dated 12/21/1960; 1065, dated 12/28/1960; & 1243, dated 08/08/1964."		\N
1667	4326	82	2014-03-12					f	"The following three (3) ordinances of the Borough of Jefferson, all related to annexation of territory: *Ordinance 15-1948, approved 4-Nov-1948; *Ordinance 2-1966, approved 7-Nov-1966; & *Ordinance 2-1969, approved 7-Apr-1969."		\N
1668	4456	83	2010-07-11					f	"Those two (2) ordinances referenced in Appendix A (Annexation of Territory) of the codification of ordinances for The Borough of Lewisberry, namely: *1955-1, dated unknown. *1970-1, dated 4/22/1970."		\N
1669	4502	82	2013-04-08					f	"Two (2) ordinances enacted on or about the following dates, both concerning annexation of territory: 3-Oct-1955; and late 1964 or early 1965."		\N
1670	4573	82	2014-03-12					f	"The following three (3) ordinances of the Borough of Manchester, all related to annexation of territory: *Ordinance, approved 3-May-1926; *Ordinance 9-1967, approved 12-Sep-1967; & *Ordinance 114, approved 14-Feb-1972."		\N
1671	4574	81	2015-07-30					f	"Any copies of legal/deed descriptions or maps/plans/surveys that are on file with the Township with respect to the 3 parcels annexed from West Manchester Township or Manchester Township to the Borough of North York by proceedings in the Court of Common Pleas of York County, Pennsylvania, Civil Division, at No. 2002-SU-03768."		\N
1672	4753	82	2013-02-05					f	"Ordinance 93, approved 11-Jul-1955, relating to annexation of territory."		\N
1673	4793	89	2015-04-21	1921-1970	1921	1921-1970	1970	f	There were two books for this time period. One was a three-ring binder that appeared to include some re-typed ordinances, but many original ordinances starting in 1950s, in order by subject. There was also another book that is labeled October 1927, that is more along the lines of a standard ordinance book, but is only written out through the 1930s. Neither had the 1955 boundary ordinance.		\N
1674	4793	63	2015-04-21	1947-01-06, p. 121	1947	1956-08, end of book 1952-1956	1956	f			\N
1675	4793	20	2015-04-21					f	They had a superseded code book with appendices. I did not see the 1955 boundary ordinance in this book.		\N
1676	4793	82	2013-02-05					f	"Ordinance enacted on/about 7-Feb-1955, relating to the boundary between the Borough of New Freedom and the Borough of Railroad."		\N
1678	4809	82	2014-03-12					f	"The following two (2) ordinances of the Borough of New Salem, both related to annexation of territory: *Ordinance, approved 2-Jul-1957 & *Ordinance 4-1969, approved 7-Oct-1969."		\N
1679	4876	83	2010-08-05					f	"All those six (6) documents referenced in Appendix A (Annexation of Territory) of the codification of ordinances for The Borough of North York, namely: *One (1) numbered ordinance: 54, dated 12/02/1927. *Four (4) unnumbered ordinances, dated as follows: 07/07/1952; 09/27/1956; 09/09/1957; & 01/02/1968. *Finally, a copy of the final decree of the Court of CP of York County in case no. 2002-SU-03768-08, presumably dated 04/05/2003."		\N
1680	5103	82	2013-02-05					f	"Ordinance approved 12-Nov-1947, relating to annexation of territory from the Township of Shrewsbury. Ordinance enacted circa early 1955, relating to the boundary between the Borough of Railroad and the Borough of New Freedom."		\N
1682	5103	63	2015-04-21	1950-01-13, p. 1	1950	1957-06-11, p. 149	1957	f			\N
1683	5103	89	2015-04-21	1950-	1950	1950-	unk	f	I briefly looked at the index for this book, and did not see anything relevant.		\N
1684	5118	83	2010-08-02					f	"Those twenty-four (24) ordinances referenced in Appendix A (Annexation of Territory) of the codification of ordinances for The Borough of Red Lion, namely: 6-758 (dated 6/11/1958), 1058-8 (dated 10/13/1958), 668-1 (dated 6/5/1968), 2002-11-12 (dated 11/22/2002), and unnumbered ordinances with the following dates: 10/12/1904, 8/6/1907, 8/16/1907, 1/5/1923, 1/4/1924, 9/2/1927, 11/2/1928, 11/17/1930, 12/2/1932, 9/1/1933, 5/1/1942, 10/1/1943, 7/11/1947, 12/22/1949, 7/11/1951, 12/5/1951, 9/7/1955, 6/6/1956, 11/7/1956, & 12/1956."		\N
1685	5291	82	2014-03-12					f	"The following five (5) enactments of the Borough of Shrewsbury, all related to annexation of territory: *Ordinance, enacted 16-May-1964; *Ordinance, approved 5-Apr-1967; *Resolution, enacted 3-Sep-1969; *Ordinance, approved 1-Oct-1969; & *Ordinance, approved 9-Mar-1970."		\N
1686	5385	82	2012-11-18					f	"Ordinance 13-1955, enacted 9-Nov-1955 by the Township of Spring Garden, relating to annexation of territory."		\N
1687	5386	82	2014-03-12					f	"The following two (2) ordinances of the Borough of Spring Grove, both related to annexation of territory: *Ordinance 7-1950, approved 5-Sep-1950 & *Ordinance 2-1966, approved 1-Aug-1966."		\N
1688	5708	82	2013-04-08					f	"Ordinance enacted on or about 9-Nov-1964, relating to annexation of territory."		\N
1690	5754	79	2015-06-20					f	"Any copies of petitions to the Board of Elections (excepting pages wholly consisting of signatures), legal/deed descriptions, or maps/plans/surveys that are on file with the Township relating to an initiative to annex territory from West Manchester Township to the Borough of North York by referendum of November 5, 2002. ALSO, Any copies of legal/deed descriptions or maps/plans/surveys that are on file with the Township with respect to the 3 parcels annexed from West Manchester Township or Manchester Township to the Borough of North York by proceedings in the Court of Common Pleas of York County, Pennsylvania, Civil Division, at No. 2002-SU-03768."		\N
1691	5788	82	2013-02-06					f	"Three (3) ordinances, enacted on or about the following dates, all relating to annexation of territory: 20-Nov-1939; 20-Oct-1941; & 7-Oct-1946."		\N
1692	5788	82	2016-05-23					f	"Ordinance, minute, and resolution books for the years 1952 through 1954 inclusive."		\N
1693	5842	83	2014-10-15					f	"The following two (2) ordinances of the Borough of Winterstown, which are referenced in Appendix A (Annexation of Territory) of the code of ordinances of the Borough of Winterstown: 1 (18-May-1871) & 2 (5-Oct-1871)."		\N
1694	5865	82	2012-11-18					f	"Three (3) unnumbered ordinances of the Borough of Wrightsville, relating to annexation of territory, enacted/approved on the following dates: 3-Dec-1949; 3-Feb-1951; & 6-Aug-1956."		\N
1695	5874	83	2012-11-18					f	"One (1) unnumbered ordinance dated 7-Jun-1937, listed under Appendix A (Annexation of Territory) of the codification of ordinances of the Borough of Yoe."		\N
1696	5875	82	2014-03-12					f	"The following eighteen (18) enactments of the City of York, all related to annexation of territory: *Eleven (11) ordinances with known numbers: 12-1931 (14 Aug 1931), 57-1947 (12 Sep 1947), 112-1948 (17 Dec 1948), 44-1952 (22 Aug 1952), 45-1952 (22 Aug 1952), 49-1953 (22 Aug 1953), 82-1955 (9 Dec 1955), 22-1963 (5 Jul 1963), 83-1964 (15 Dec 1964), 59-1965 (27 Oct 1965), & 2-1969 (4 Feb 1969). *Six (6) other ordinances, enacted on or about the following dates: 24 Jan 1900 (bk. C, p. 264), 23 Mar 1900 (bk. C, p. 286), 1 Apr 1909, 6 Nov 1913, 18 Jun 1943, & 14 Mar 1952. *AND one (1) resolution, dated 7 Mar 1958."		\N
1697	5879	82	2014-03-12					f	"Ordinance 25 of the Borough of Yorkana, approved July 6, 1971, relating to annexation of territory."		\N
1699	5685	76	2016-08-08	Scranton Republican, 1911-12-04	1911	Scranton Republican, 1912-01-15	1912	f			\N
1700	5685	76	2016-08-08	Scranton Truth, 1911-12-04	1911	Scranton Truth, 1911-12-30	1911	f			\N
1701	5685	76	2016-08-08	Scranton Times, 1911-12-04	1911	Scranton Times, 1911-12-30	1911	f			\N
1702	4742	82	2015-08-15					f	"If currently existing in an electronic format, the volume of the code of ordinances in which the appendices are contained. (Please furnish via e-mail.) If the above does not currently exist in an electronic format, then kindly provide the table of contents page or list of appendices only for the volume of the code of ordinances in which the appendices are contained."		\N
1703	3621	82	2014-10-15					f	"Two (2) ordinances of the City of Clairton, enacted on or about the following dates, both related to annexation of territory: 5-Jan-1925 & 25-Oct-1935."		\N
1704	3621	82	2013-02-04					f	"Two (2) ordinances of the City of Clairton, enacted on or about the following dates, concerning annexation of territory thereto: 5-Jan-1925; & 25-Oct-1935."		\N
1705	4171	83	2012-12-26					f	"Resolution 71-7, dated 30-Aug-1971, referenced in Appendix D (Governmental and Intergovernmental Affairs) of the codification of ordinances for the Township of Hampden, relating to the township’s common boundary with the Township of East Pennsboro."		\N
1706	3891	84	2013-02-07					f	"*Resolution dated May 22, 1912, relating to the boundary between the counties of Perry and Cumberland. *Resolution 14-71, dated August 16, 1971, relating to the boundary between the Townships of Hampden and East Pennsboro. *Ordinance 581-97, dated July 30, 1997, concerning the merger of the Borough of West Fairview into the Township of East Pennsboro."		\N
1707	3545	83	2013-06-03					f	"1. Appendix listing annexations of territory in a superseded code of ordinances of the Borough; 2. Full text of all the ordinances listed in said appendix, except No. 1086, approved 1971-08-12; and 3. Full text of the following ordinances, if not listed in said appendix, all concerning annexation of territory: Unk., enacted 1923-11-08; Unk., enacted 1924-09-11; Unk., enacted 1928-02-09; Unk., approved 1941-05-19; No. 95-B, approved 1950-06-08; No. 32-C, approved 1953-07-09; No. 98-C, approved 1957-03-30; No. 121-C, approved 1958-02-13; No. 852, approved 1959-07-14; No. 901, approved 1961-07-13; No. 929, approved 1962-12-13; No. 955, enacted 1960s; No. 971, approved 1965-04-08; No. 983, approved 1965-10-18; No. 1008, approved 1967-05-19; Nos. 1021 & 1022, enacted 1967-10-12."		\N
1708	5779	114	2016-10-05	1863	1863	1866	1866	f	Turnersville is listed in 1863 and 1864, but not in 1865 or 1866.		\N
1709	5497	83	2010-07-12					f	"Those three (3) ordinances referenced in Table H (Annexation and Detachment of Territory) of the 'Tables of Special Ordinances' of the codification of ordinances for the City of Titusville, namely: *1607, dated 3/18/1963; *1719, dated 10/13/1969; *and 1732, dated 1/12/1970."		\N
1710	5387	79	2015-03-29					f	"Any copies of petitions to the Board of Elections (excepting pages wholly consisting of signatures), election returns, legal/deed descriptions, or maps/plans/surveys that are on file with the Borough relating to an initiative to annex territory from Spring Township to the Borough by referendum of April 1984."		\N
1712	5200	89	2017-05-18	1879-1970	1879	1879-1970	1970	f			\N
1713	5200	79	2017-04-19					f	"Any minute books, ordinance books, and resolution books for the period from 1954 through 1956."		\N
1714	5200	63	2017-05-18	1954-1962, p. 49 (1955-01-04)	1955	1954-1962, p. 91 (1956-01-02)	1956	f			\N
1715	4627	63	2015-11-05	1954-1958 (1956-10-23)	1956	1954-1958 (1957-11-12)	1957	f			\N
1718	4627	82	2015-10-26					f	"The following five (5) ordinances books of the City of Meadville: B, C, D, F, and G. ALSO, any minute books of the City of Meadville covering the year 1957."		\N
1719	4627	90	2015-07-13	1	form	2 (to Ordinance 3000)	1970s	f			\N
1720	4627	82	2015-07-16					f	"The following eighteen (18) ordinances of the City of Meadville, relating to annexation of territory: 2068 (F:322); 2247 (F:444); 2335 (F:504); 2398 (F:593); 2411 (G:3); 2430? (G:?); 2432 (G:24); 2433 (G:25); 2450 (G:40); 2472 (G:56); 2509 (G:89); 2512 (G:92); 2526 (G:100); 2541 (G:111); 2553 (G:127); 2554 (G:128); 2704 (G:296); & 2710 (G:305). Also, one (1) ordinance of the City of Meadville, relating to a charter study commission: 2595 (G:170)."		\N
1721	4627	89	2015-11-05	B	1875	C	1902	f			\N
1722	3696	82	2015-10-26					f	"Any ordinance books of the Borough of Conneaut Lake covering the period prior to 1974."		\N
1723	3696	90	2015-11-04					f			\N
1724	3696	82	2013-02-04					f	"The following three (3) ordinances, all relating to annexation of territory: Ord. 61?, enacted 6-May-1936; Ord. 64?, enacted 7-Feb-1938; & Ord. 92, approved 7-Jan-1952."		\N
1725	3660	82	2013-02-04					f	"The following two (2) ordinances, both concerning annexation of territory: Ord. 104, approved 10-Nov-1939; & Ord., enacted circa Dec-1950."		\N
1726	3533	83	2015-07-16					f	"Ordinance 468, approved July 6, 1960, being the only ordinance listed in Table H (Annexation and Detachment of Territory) of the codification of ordinances for the Borough of Cambridge Springs as of 2000."		\N
1727	132968	81	2016-07-18					f	"1. Minute books of the School District of Stillwater Borough for the years 1900-1909. 2. Minute books of the School District of Fishing Creek Township for the years 1900-1909."		\N
1728	5416	76	2016-07-25	Columbia County Republican, 1907-07-24	1907	Columbia County Republican, 1907-08-28	1907	f			\N
1729	5416	76	2016-07-25	Columbia County Republican, 1901-02-27	1901	Columbia County Republican, 1901-04-10	1901	f			\N
1730	5416	76	2016-07-25	Columbia County Republican, 1901-12-04	1901	Columbia County Republican, 1902-01-08	1902	f			\N
1731	5416	76	2016-07-25	Democratic Sentinel, 1901-11-29	1901	Democratic Sentinel, 1901-12-13	1901	f			\N
1732	5416	76	2016-07-25	Bloomsburg Daily, 1901-12-04	1901	Bloomsburg Daily, 1902-01-06	1902	f			\N
1733	5416	76	2016-07-25	Catawissa News Item, 1901-11-28	1901	Catawissa News Item, 1902-01-09	1902	f			\N
1734	5416	76	2016-07-25	Democratic Sentinel, 1907-07-26	1907	Democratic Sentinel, 1907-08-30	1907	f			\N
1735	5416	76	2016-07-21	Columbian, 1901-12-05	1901	Columbian, 1902-01-02	1902	f			\N
1736	5416	82	2015-04-26					f	"Two (2) ordinances of the Borough of Stillwater, enacted on or about the following dates, both relating to annexation of territory: 5-Mar-1901 and 4-Dec-1901 (No. 2?)."		\N
1737	4010	81	2016-07-18					f	"Minute books of the Township of Fishing Creek for the years 1900-1909."		\N
1738	3564	76	2016-07-25	Columbia County Republican, 1898-12-14	1898	Columbia County Republican, 1899-02-08	1899	f			\N
1740	3564	82	2016-07-18					f	"Ordinance enacted circa late 1898 or first week of January 1899 concerning annexation of territory."		\N
1741	3564	76	2016-07-25	Democratic Sentinel, 1898-12-23	1898	Democratic Sentinel, 1899-02-10	1899	f			\N
1742	3397	82	2015-04-26					f	"*Two (2) ordinances of the Borough of Berwick, both related to annexation of territory: Unknown No., approved April 12, 1920; and No. 196, approved October 13, 1922. *One (1) ordinance of the Borough of Berwick, enacted on or about November 6, 1917, relating to its consolidation with the Borough of West Berwick. *One (1) ordinance of the former Borough of West Berwick, enacted on or about November 7, 1917, relating to its consolidation with the Borough of Berwick."		\N
1747	4496	89	2015-07-07	1	1870	2	1970	f			\N
1748	4496	90	2015-07-07	1	1870	2	1971	f			\N
1756	4924	63	2016-08-19	1969-1973	1969	1969-1973	1973	f	This book uniformly used "Osceola Mills."		\N
1757	4818	82	2015-05-18					f	"Ordinance believed to be of the Borough of Newburg, passed shortly prior to July 21, 1916, relating to the annexation of outlots of G. G. Michaels to the Borough referred to as 'Lajose' in Clearfield County court records."		\N
1758	4116	84	2013-06-04					f	"Resolution enacted on or about 09-29-1994, as referenced in the attached blotter from the U.S. Census Bureau's Boundary and Annexation Survey (BAS), listing Annexation Data for the years 1991-2000."		\N
1759	4003	79	2013-02-20					f	"Ordinance and agreement concerning the proposed merger of the Borough of Lumber City into the Township of Ferguson."		\N
1760	4003	79	2013-02-20					f	to the Borough of Lumber City: "Ordinance and agreement concerning the proposed merger of the Borough of Lumber City into the Township of Ferguson."		\N
1761	3822	83	2011-04-23					f	"An ordinance listed under Appendix A (Annexation of Territory) in the codification of ordinances of The City of DuBois, namely: Ordinance 754, dated 3/22/1948."		\N
1762	3749	82	2013-04-08					f	"Ordinance enacted on or about 22-Dec-1952, relating to annexation of territory."		\N
1763	3634	89	2016-08-18	Clearfield, Secretary's 1, p. 290	1906	Clearfield, Secretary's 1, p. 511	1920	f			\N
1764	3634	89	2016-08-18	Clearfield, 1	1858	Clearfield, 2	1906	f	I did not see any clear indication that Clearfield was operating under the Act of April 3, 1851		\N
1765	3634	89	2016-08-18	West Clearfield	1884	West Clearfield	1899	f			\N
1766	3634	82	2016-08-14					f	to the Borough of Clearfield: "1. All ordinance books for the Borough of Clearfield for the period from 1851 through 1950. 2. All ordinance books for the former Borough of West Clearfield for the period from incorporation (1883) through consolidation (1900)."		\N
1767	3511	82	2013-02-03					f	"An ordinance of the Borough of Burnside, approved 30-Aug-1952, relating to annexation of territory."		\N
1768	5284	82	2015-02-15					f	"Ordinance of the Borough of Shippenville approved May 8, 1962, regarding annexation of territory from Elk Township."		\N
1769	5147	82	2013-04-08					f	"Ordinance enacted on or about September 15, 1956, relating to annexation of territory."		\N
1771	4781	83	2012-11-18					f	"Those five (5) ordinances listed under Appendix II (Annexation of Territory) of the codification of ordinances (as of 1990) of the Borough of New Bethlehem, namely: unnumbered, dated 8-Apr-1929; unnumbered, dated 9-Apr-1935; 542, dated 14-Jun-1948; 546, dated 20-Jun-1949; & 595, dated 14-Nov-1955."		\N
1772	4384	82	2015-02-15					f	"Ordinance of the Borough of Knox enacted in 1966 regarding annexation of territory from Beaver Township."		\N
1774	3953	82	2015-07-16					f	"Exhibit 'A' of Ordinance 192, enacted January 5, 1970, concerning annexation of territory."		\N
1775	3624	83	2014-03-25					f	"1. Appendix relating to 'Annexation of Territory' from the most recent superseded code of ordinances in which it was included that is available to the Borough. 2. OR, if item 1 is unavailable, that portion of the complete list of legislation reviewed for codification as referenced in Chapter DL of the current code (or, that portion of a chronological list of ordinances) containing those ordinances enacted in 1974 and prior. (If this second item is the only portion being furnished, please advise if the estimated page count will be over 20 pages prior to furnishing records)."		\N
1776	5567	82	2012-02-06					f	"Ordinance approved 25-Mar-1950, relating to annexation of territory."		\N
1777	5408	83	2010-08-02					f	"All those thirty-four (34) ordinances referenced in Part A (Annexation of Territory) of the appendix to the codification of ordinances for The Borough of State College. Please see next page for a list of all of the ordinances included in this request." List on page 2 includes: 32 (Jan 1, 1909); 35 (May 8, 1909); 39 (Aug 10, 1912); 48 (Jan 7, 1916); 49 (Feb 21, 1917); 50 (Feb 21, 1917); 51 (Feb 21, 1917); 52 (Mar 6, 1917); 61 (Sep 18, 1922); 66 (Jul 19, 1923); 107 (Oct 15, 1930); 115 (Aug 18, 1931); 298 (Apr 8, 1946); 315 (May 29, 1947); 324 (Jan 19, 1948); 340 (Mar 16, 1949); 343 (May 16, 1949); 427 (Aug 20, 1953); 436 (Jun 7, 1954); 473 (Dec 20, 1954); 497 (Feb 13, 1956); 498 (Feb 13, 1956); 513 (Nov 19, 1956); 538 (Apr 7, 1958); 598 (Aug 9, 1961); 632 (Apr 22, 1963); 647 (Mar 3, 1964); 653 (May 18, 1964); 654 (May 18, 1964); 655 (May 18, 1964); 657 (Aug 7, 1964); 715 (Sep 26, 1967); 728 (May 17, 1968); & 1207 (Jun 6, 1988).		\N
1778	5377	83	2014-07-20					f	"The following three (3) resolutions listed under Appendix D (Governmental and Intergovernmental Affairs) of the codification of ordinances of the Township of Spring, Centre County, all related to municipal boundaries: 79-1967 (3-Apr-1967); 132-1969 (4-Aug-1969); & 86-1991 (3-Sep-1991)."		\N
1779	5316	81	2014-07-20					f	"1. Petition filed circa 2013 for the ascertainment of the municipal boundary between the Townships of Boggs and Snow Shoe, Centre County. 2. Order entered in 2013 or 2014 for the appointment of commissioners to ascertain the municipal boundary between the Townships of Boggs and Snow Shoe, Centre County."		\N
1780	5315	83	2012-11-18					f	"Those three (3) ordinances listed under Appendix A (Annexation of Territory) of the codification of ordinances (as of 1989) of the Borough of Snow Shoe, namely: 115, dated 6-Dec-1960; 117, dated 5-Jun-1962; & 118, dated 11-May-1964."		\N
1781	5187	79	2012-12-26					f	"Any ordinances, resolutions, petitions, or joint agreements of the Township of Rush or the former Borough of South Philipsburg concerning the merger of the Borough of South Philipsburg into the Township of Rush."		\N
1782	5003	83	2012-11-18					f	"Nine (9) ordinances, being a portion of those listed under Appendix 2 (Annexation of Territory) of the codification of ordinances (as of 1991) of the Borough of Philipsburg, namely: 247, enacted/approved 3-Nov-1947; 383, dated 16-Feb-1956; 410, dated 4-Mar-1958; 582, dated 6-Apr-1966; 596, dated 6-Oct-1966; 597, dated 6-Oct-1966; 617, dated 3-Apr-1967; 688, dated 13-Feb-1969; & 753, dated 25-Mar-1972."		\N
1783	4687	82	2010-06-28					f	"That one (1) ordinance listed under Appendix A (Annexation of Territory) listed in the codification of ordinances for The Borough of Millheim, namely: Ordinance 61, dated 10/3/1949."		\N
1784	4004	84	2015-02-15					f	"Plan attached as Exhibit 'A' to Resolution 2013-15, enacted on May 6, 2013, regarding the municipal boundary lines between College, Ferguson, and Harris Townships."		\N
1785	4004	83	2012-11-28					f	"Those two (2) resolutions concerning annexation of territory listed in the Key to Disposition of Significant Resolutions of the codification of ordinances of the Township of Ferguson (Centre County), namely: Resolutions 83-1 & 85-1."		\N
1786	3671	63	2016-06-05	1940	1940	1941	1941	f			\N
1788	3378	83	2010-07-25					f	"All those twenty (20) ordinances or resolutions listed in Table H (Annexation and Detachment of Territory) under the “Tables of Special Ordinances” of the codification of ordinances for The Borough of Bellefonte, namely: Unnumbered ordinances dated as follows: 8/19/1947; 12/29/1948; 8/9/1950; 8/14/1950; 8/6/1951; 1/7/1952; 9/6/1956; 3/5/1957; 6/16/1958; 7/21/1958; 2 separate ordinances dated 2/20/1961; 11/20/1963; & 5/16/1983. As well as the following numbered ordinances: 514, dated 8/16/1965; 515, dated 8/16/1965; 532, dated 2/11/1966; 534, dated 2/21/1966; 548, dated 9/6/1966; & 594, dated 3/4/1968."		\N
1790	4940	82	2015-06-21					f	"Ordinance of the Borough of Palmerton passed on or about November 12, 1953, concerning annexation of territory."		\N
1791	3955	83	2010-07-05					f	"Those three (3) ordinances listed under Appendix A (Annexation of Territory) of the codification of ordinances for The Borough of Emporium, namely: *151, dated 7/2/1945. *203, dated 6/16/1952. *and 273, dated 12/4/1961."		\N
1792	5792	82	2015-10-20					f	"The following ten (10) ordinances of the Borough of Westmont, relating to annexation of territory: Unknown No., enacted 7-Jul-1924; Unknown No., approved 23-Mar-1925; Unknown No., approved 27-Jul-1925; Unknown No., approved 18-Feb-1928; 204, enacted 2-Jun-1941; 269, approved 13-Aug-1953; 305, approved 6-Mar-1957; 306, approved 6-Mar-1957; 307, approved 6-Mar-1957; & 361, approved 25-Oct-1960."		\N
1793	5792	89	2016-03-23	1	1893	2	1962	f			\N
1794	5630	82	2015-10-20					f	"Two (2) ordinances of the Borough of Vintondale, enacted on or about the following dates, relating to annexation of territory: 12-Aug-1948 & 21-Jan-1977."		\N
1795	5368	83	2010-08-07					f	"The following two (2) ordinances as referenced on the web site of The Borough of Southmont, namely: *Ordinance 2, concerning 'Land Annex.' *Ordinance 249, concerning 'Consolidation Election.'"		\N
1796	5233	82	2013-02-05					f	"Ordinance 74, approved 31-Aug-1950, relating to annexation of territory."		\N
1797	5066	83	2010-07-12					f	"That sole ordinance listed in Appendix A (Annexation of Territory) of the codification of ordinances for The Borough of Portage, namely: Ordinance 268, dated 9/5/1967."		\N
1798	4956	82	2015-10-20					f	"Four (4) ordinances of the Borough of Patton, relating to annexation of territory: 171, approved 12-Sep-1928; Unknown No., enacted circa Aug-1942; 199, approved 29-Jun-1948; & 309, enacted on or about 20-Dec-1978."		\N
1799	4511	82	2015-10-21					f	"Ordinance of the Borough of Loretto, enacted circa mid-1919, likely immediately prior to July 8, 1919, relating to annexation of territory."		\N
1800	4473	81	2015-10-20					f	"Minutes for the meeting of the Council of the Borough of Lilly held on November 28, 1921."		\N
1801	4348	83	2012-12-04					f	"Five (5) ordinances referenced in Table D (Annexation and Detachment of Territory) of the codification of ordinances for the City of Johnstown: Sp. Ord. 775, dated 7/29/1907; Sp. Ord. 904, dated 5/26/1910; Ord. 598, dated 6/11/1918; Ord. 667, dated 1/11/1919; & Ord. 698, dated 3/4/1919. Also, any pages except the first page for Ordinance 2530, dated 3/20/1945, being another ordinance referenced in the same Table."		\N
1802	4982	82	2009-08-13					f	"Ordinance of April 4, 1932, relating to annexation, which may be found in the book labeled 'Ordinances #3', before the red tab labeled 'Q.' - three (3) pages."		\N
