metesdescriptionid	metesdescriptiontype	metesdescriptionsource	metesdescriptionbeginningpoint	metesdescriptionstateplane	metesdescriptionlongitude	metesdescriptionlatitude	metesdescriptionangle	metesdescriptionquality	metesdescriptionnotes	metesdescriptionname	event	metesdescriptionacres
3734	shape	ordinance (docket)	point on the Schuylkill Haven Borough Line running Northwardly from Mail Street and the south right-of-way line of the Pennsylvania-Schuylkill Valley Railroad branch, at a distance of sixty (60) feet South of the center line of the main tract of said branch	100007	-76.1705303	40.6360689	-10.3	m			8140	36.43
3735	shape	ordinance	present southwest corner of the Borough of Selinsgrove	100007	-76.8696640	40.7896800	-2.35				8141	-1
3736	shape	ordinance	point on the northern borough line on the south side of Leg. Rt. 54044 and on the eastern side of Leg. Rt. 455, said point being a corner of the present borough boundary	100007	-76.8665650	40.8117450	-2				8142	-1
3737	shape	ordinance	point on the western side of lane leading to Union Cemetery, said point being 396 feet south from the intersection of the western side of the lane leading to Union Cemetery and the southern side of Pennsylvania Highway No. 8	100007	0.0000000	0.0000000	0			Tract 2	8143	-1
3738	shape	ordinance	point on the western side of lane leading to Union Cemetery, said point being two hundred seventy-six feet (276) south from the intersection of the western side of the lane, leading to Union Cemetery and the southern side of Pennsylvania Highway Legislative Route No. 25, and said point being at the northeastern corner of Lot No. 6	100007	0.0000000	0.0000000	0			Tract 1	8143	-1
3739	shape bounding	ordinance	point in the center of the road leading from the Old to the New State Highway 522, formerly a township road, at the northeast corner of land of Charles Kreamer	100007	0.0000000	0.0000000	0				8144	-1
3740	shape exception	petition (docket)	also a portion of land heretofore conveyed to Samuel Napper extending from the line of Samuel Napper to present Route No. 173 and being on the easterly portion of the property herein conveyed	100007	0.0000000	0.0000000	0			Tract 1, Exception 3	8147	0
3741	shape exception	petition (docket)	point in the center of the Grove City-Slippery Rock Road, known as Route #173, at the northern boundary line of the above mentioned tract	100007	-80.0517830	41.0793590	0			Tract 1, Exception 4	8147	0
3742	shape	petition (docket)	point at the Northeast corner of the tract herein conveyed said point being in the center of formerly Route 78, now Route 173 and on the line of lands of J. H. Hockenberry	100007	-80.0516550	41.0845370	-0.85			Tract 2	8147	84.12
3743	shape exception	petition (docket)	EXCEPTING THEREOUT and THEREFROM a one acre tract conveyed to L.A. and Elsie Ward as per survey of W.S. Hines, dated December 23, 1950	100007	-80.0517350	41.0787739	0			Tract 1, Exception 1	8147	1
3744	shape	petition (docket)	point in the center of the Grove City-Slippery Rock Road, known as Route #173, at the northern boundary line of the above mentioned tract	100007	-80.0517940	41.0793550	0			Tract 3	8147	0
3745	shape	petition (docket)	point in the center line of State Highway Route 78, said point being two hundred (200) feet south of the line of lands formerly of J. C. Kerr, now Ikenberger	100007	-80.0517350	41.0787740	1.5			Tract 4	8147	1
3746	shape	petition (docket)	Southeast corner of the tract herein described in the center of the Slippery Rock-Grove City Road, State Highway Route 78 on the North line of lands of W.R. Rennick	100007	-80.0516870	41.0793510	-1.95			Tract 5	8147	8.048
3747	shape bounding	petition (docket)	northeast corner at a post in the center of the old Grove City Road	100007	-80.0513010	41.0794080	-2.2			Tract 1 (before exceptions)	8147	53.1
3748	shape exception	petition (docket)	also reserving therefrom the right-of-way of State Highway Route No. 173, said right of way being eighty (80) feet wide	100007	0.0000000	0.0000000	0			Tract 1, Exception 2	8147	0
3749	shape	ordinance	point in the center line of a public street known as Mill Street, corner of property belonging to John Eaton	100007	-76.6012506	39.7480058	3			Tract 3	8150	25.061
3750	shape	ordinance	point on the eastern side of Main Street, Main Street being in the Borough of Stewartstown, York County, Pennsylvania, at the southwest corner of land now or formerly of James P. Throne	100007	-76.5912510	39.7580490	-8.6			Tract 1	8150	1.833
3751	shape	ordinance	point in the centerline of College Avenue, said point being the northeast corner of the Stewartstown playground	100007	-76.5875820	39.7525110	-6.15			Tract 2	8150	13.134
3752	shape	ordinance	point in the center line of Pennsylvania State Route No. 851, also known as College Avenue, said point being approximately One Thousand Five Hundred feet East of the intersection of said Route No. 851 with Pennsylvania Department of Highways Route No. 24	100007	-76.5866281	39.7522620	-9.6				8151	110.158
3753	shape exception	ordinance	point in the West line of the road extending from the Titusville-East Titusville Road to lands formerly of Oil Creek Refining Company; said road being adjacent to the East line of lands now occupied by the Titusville Incinerator Plant, said point of beginning being approximately two hundred (200) feet South of the right-of-way of the New York Central Railroad, formerly D. A. V. & P.	100007	-79.6457477	41.6207513	-5.5			Exception	8154	0
3754	shape bounding	ordinance	point in the South line of the City of Titusville at the point of intersection of the South line of the City of Titusville, East line of the City of Titusville, and the West line of Oil Creek Township, Crawford County, Pennsylvania	100007	-79.6496622	41.6172285	1			Before Exception	8154	0
3755	shape	ordinance	point on the northwest corner of the intersection of Bryant Street (also known as Legislative Route 67276) with Wallace Street	100007	-79.5746899	40.5921248	-2				8155	-1
3756	shape	ordinance	point on the center line of North Church Street, Pennsylvania Traffic Route Number 997, said point being North 64 degrees 20 minutes 45 seconds West 900.29 feet from an existing concrete monument at the North Broad Street Reservoir on the present boundary line of The Borough of Waynesboro	100007	-77.5722418	39.7624270	0	m		Tract 1	8156	1.5857
3757	shape	ordinance	concrete monument on the present boundary line of The Borough of Waynesboro, said monument being South 77 degrees 40 minutes East 537 feet from another concrete monument in the intersection of Old Mill Road, Pennsylvania Traffic Route Number 997	100007	-77.5748225	39.7424349	0.25	m		Tract 3	8156	156.7
3758	shape	ordinance	point on the present boundary line of The Borough of Waynesboro, said point being North 3 degrees 00 minutes 17 seconds West 2,664.83 feet from an existing concrete monument South of West Eighth Street	100007	-77.5975840	39.7571904	-1.4	m		Tract 2	8156	75.058
3759	shape	ordinance	concrete monument on the present Borough boundary, said monument being located on the East side of Clayton Avenue and the center line of an abandoned Wester Maryland Railroad right of way	100007	-77.5827496	39.7422462	0	m		Tract	8157	16.4
3760	whole final	exhibit (docket)	concrete monument on the West side of Pennsylvania Traffic Route Number 316	100007	-77.5775146	39.7644058	0			After	8157	2213.0437
3761	shape	decree (DCED)	Corner conmon to Lot No. 10 of the J. J. Estates Plan of Lots as recorded in the Recorder's Office of Allegheny County in Plan Book Volume 68 Pages 75 and 76, and the rear corner of Lots Nos. 33 and 34 of Sherwood Glen Plan of Lots No. 3 as recorded in said Recorder's Office in Plan Book Volume 51 Pages 148, 149 and 150, and land now or formerly of M. R. Egede, said point also being on the dividing line of the Borough of Baldwin and the Borough of Whitehall	100007	-80.0030915	40.3507763	0	m			8164	10.4
3762	shape	ordinance	point in the middle of State Street, a state highway within the Borough of Coopersburg, Legislative Route #39097, said point being the intersection of the center line of State Street and the dividing line of land of the grantor herein and land of Charles E. Minnich	100007	-75.3992155	40.5117579	-3.5			Parcel 2	8171	33.82
3763	shape	ordinance	point in the middle of the state highway leading from the Blue Church Road to Center Valley, Legislative Route #39007, said point being the southeasterly corner of land now or formerly of Nagy Brothers, the southwesterly corner of land of William W. Lewis, and the northerly corner of land of the grantor herein	100007	-75.4015598	40.5173329	-8.5			Parcel 1	8171	18.18
3764	shape	ordinance	point in the center line of Old Route 22 and line of Delmont Borough and Franklin Township	100007	-79.5916986	40.4159017	-4				8172	232
3765	shape	decree (docket)	iron pin at the point of intersection of the Southwestern right-of-way line of former Route No. 220 where it intersects with the Southeasterly portion of existing U.S. Route No. 22	100007	-78.4383970	40.4218900	-5				8173	0
3766	shape	ordinance	point on the present borough line where said borough line crosses with property line between properties owned by Donald J. Wolf and the Ebensburger Motel Inc. property which are near the Route 22 by-pass south of the Borough of Ebensburg	100007	0.0000000	0.0000000	0				8174	0
3767	line after	decree (DCED)	point at the geometric center of Bridge No. 3, Sewickley Creek as presently existing, which point is at the northeasterly corner of the Borough of Bell Acres and is on the dividing line between Beaver County and Allegheny County	100007	-80.1586750	40.6091360	-1.45				8176	0
3768	shape	ordinance (DCED)	point on the city line of the City of Greensburg	100007	-79.5374674	40.3300878	-5.5	m			8177	363.053
3769	shape	ordinance (DCED)	point, said point being the intersection of Boro Line 304 and Boro Line 305 and having Pennsylvania Coordinates of X= 1,354,206.25 and Y = 366,053.36	100007	-80.0948940	41.1474170	0	m			8178	253.116
3770	shape	ordinance	post on the line of Hollidaysburg Borough and Frankstown Township, said point being on the northerly bank of Brush Run	100007	0.0000000	0.0000000	0				8179	0
3771	shape	ordinance exhibit	point at the intersection of the southern line of Fifth Avenue with the center-line of a 20 feet wide public alley, said point being on the present borough line	100007	-76.8595175	40.1387874	-2	m			8183	21.562
3772	shape	ordinance	ALL THOSE CERTAIN two lots of land on which are erected a two story frame dwelling house and other improvements, situated on the South side of Wasp Street at the Southeastern intersection of Wasp and Porter Streets, in the Township of East Donegal, Lancaster County, Pennsylvania, numbered 315 West Wasp Street, and known as Lots Nos. 454 and 455 in that part of the Township of East Donegal as laid out by Teban Duffy and Mehaffey, bounded and described as follows: CONTAINING in front on the South side of Wasp Street 80 feet, and extending in depth of that width 200 feet to an alley. BOUNDED on the North by Wasp Street	100007	-76.5660748	40.0575149	0	m			8184	0
3773	shape	ordinance	point, the intersection of the eastern extremity of the present Borough boundary line with the centerline of Pennsylvania Legislative Route No. 280 (Traffic Route No. 441, Columbia and Marietta Pike), more particularly known as Pennsylvania Department of Highways Centerline Station 140+ 67.05 and located from the centerline intersection of said L. R. 280 with the centerline of L. R. 36003 (Route 23, Marietta and Lancaster Pike) by a course of North 56 degrees 40 minutes 30 seconds West, a distance of 216.75 feet	100007	-76.5373657	40.0611223	-7.8				8185	82
3774	shape	ordinance	iron pin at a corner formed by lands of Charles Mader and the now existing boundary line between the Borough of Marysville and Rye Township	100007	-76.9452310	40.3425750	-9.65				8186	4.18
3775	shape	ordinance	southeast corner at land of the Borough of Mercer on the north side of an easement or road	100007	-80.2462985	41.2220214	8	m			8187	3.35
3776	shape	ordinance	marker in the center of Diller Avenue on the Northeast corner of that parcel of land now owned by New Holland Division of Sperry Rand and formerly known as the Ludwig Farm, twenty (20) feet Westward from the Southeast corner of the former Borough annexation dated 1954	100007	-76.0986722	40.0928594	-9	m			8188	209.349
3777	shape	ordinance	point in the Northern boundary line of New Holland Borough and being in line of Earl Township, said point being the Southeast corner of a tract of land annexed to the Borough of New Holland in 1956	100007	-76.0996656	40.1025400	-9.5	m			8189	52.693
3778	shape	ordinance (filed with Court)	monument set in the line dividing the Borough of Oxford and the Township of East Nottingham, said monument being on the Easterly line of land of the Oxford Area School District and also said monument being South 79° 30' 30" West, 1133.29 feet from a borough marker to the place of beginning	100007	-75.9670811	39.7793100	-6.8	m			8191	23.711
3779	shape	ordinance	a point in the center line of Park Ave. and the Borough Boundary line	100007	0.0000000	0.0000000	0	m	Only contains road reference and distances, no angles. For roads, must pull in from TIGER.		8194	0
3780	shape	ordinance (DCED)	intersection of the center line of Memorial Drive and the southwest line of Jefferson Street extended	100007	-76.7811266	40.8710987	-24.75				8197	0.4409
3781	shape	petition (recorded)	point in the center line of L.R. 49012 at the Borough Line of the Borough of Milton	100007	-76.8480994	41.0245071	-0.8	m			8200	199.14
3782	shape	ordinance (filed with Court)	iron pin at lands now or formerly of Kurvin Winters	100007	-76.5851408	39.9731737	-7.65	m		Tract 3	8202	0
3783	shape	ordinance (filed with Court)	iron pin	100007	-76.5880054	39.9739917	-7.85	m		Tract 2	8202	0
3784	shape	ordinance (filed with Court)	corner of lands of the United Methodist Church cemetery	100007	-76.5895396	39.9719979	-5.85	m		Tract 1	8202	0
3785	shape	decree (DCED)	point at the intersection of the Northerly right of way line of L. R. 8.08 (Pa. Route 160) and the Easterly right of way lme of TownshIp Route 660	100007	-78.9428610	39.7995210	0.4				8208	2780
3786	shape	ordinance (docket)	point on the Northerly edge of the Borough of Duncansville to the West of Blair Gap Run	100007	-78.4283710	40.4276480	-8.2				8214	46.7
3787	shape	ordinance (docket)	[fronting two hundred twenty-five (225) feet, more, or less, on the Easterly side of what is known as the new 6th Avenue Road, leading from Duncansville intersection to the City of Altoona	100007	0.0000000	0.0000000	0				8215	4
3788	shape	ordinance (docket)	point on the Borough line and property of Harry O. and Margaret M. Charlesworth	100007	-78.4369330	40.4264750	-8.05				8216	0
3789	shape	ordinance (docket)	point on the Northerly side of 8th Avenue of the said Borough of Duncansville	100007	-78.4316700	40.4284120	-5.05				8217	10
3790	whole final	ordinance	point in the centerline of Township Route #T-426, known as Shimerville Road, said point located the following two (2) courses and distances from the intersection formed by the centerline of Township Route #T-833. known as South Sixteenth Street, with the centerline of Township Route #T-426, known as Shimerville Road: (1) South 1°-05'-30" East, 255.02 feet to a point, and (2) South 10°-15'-30" East 80.17 feet to a point, the place of beginning	100007	-75.5126810	40.5183450	-1.5			After	8220	0
3791	shape	ordinance	iron pin, a corner on the present boundary line between the Borough of Emmaus and Lower Macungie Township, said pin being further located the following two courses and distances from the intersection of the Northerly right-of-way line of Lawrence Drive with the Easterly right-of-way line of Harris Drive:\n1. North 79°-42'-53" East, 154.49 feet; \n2. South 10°-17'-07' East, 140.00 feet	100007	-75.5155130	40.5379550	-2.85			From Lower Macungie, Tract 2	8220	5.97187
3792	shape	ordinance	corner on the present Borough of Emmaus boundary line, said point being further located the following two courses and distances from the intersection of the Southerly right-of-way line of Lawrence Drive with the Westerly right-of-way line of Macungie Avenue:\n1. South 53°-21'-44" East, 191.63;\n2. South 79°-42'-53" West 229.14 feet	100007	-75.5116720	40.5385990	0			From Upper Milford, Tract 1	8220	2.71425
3793	shape	ordinance	spike in the center line of Route 322 a Borough corner No. 344	100007	-76.2054500	40.2000828	-9	m			8221	2
3794	line after	plan	[30" Black Oak on line with East Manchester Township between northeast bank of Codorus Creek and Private Road, on property of Dr. H. P. Belknap]	100007	-76.6684020	40.0309617	-1.5				8226	0
3795	shape	ordinance	point on the present Borough line being the Southwesterly corner of lands of the Ligonier School District and on line of land herein described	100007	-79.2333230	40.2472090	-7.95				8231	0
3796	shape	ordinance	point in the center line of North New Street, corner of other lands of Petitioner, said point being located a distance of 186.22 feet north of a p.k. nail located in the center line intersection of North New Street and East Market Street, said point also being situated in the existing Borough Line a distance of 936.22 feet east of a Borough Corner	100007	-76.3038477	40.1631127	-5.75	m			8232	4.883
3797	shape	ordinance	point in the center line of Kissel Hill Road, said point being located and referenced South thirteen (13) degrees thirty-two (32) minutes East, a distance of two hundred seventy-eight and ninety-eight hundredths (278.98) feet from the center line intersection of Kissel Hill Road and Oxford Drive	100007	-76.2940469	40.1452061	-9.25	m			8233	32.88
3798	shape	ordinance	point in the East line of Park Avenue, said point being the Southwest corner of land of James E. Wettach, et ux, said point also being the Southwest corner of Lot No. 1, Section A of the Parklands Allotment Plan as recorded in the Records of Crawford County in Plan Book 4, page 41, said beginning point also being the intersection of the presently existing City Line with the East line of Park Avenue	100007	0.0000000	0.0000000	0	m			8236	0
3799	shape	ordinance	point on the South line of Leslie Road, said point marking the Northwest corner of land of Harlan W. Drake and the end of the City line of said Leslie Road	100007	0.0000000	0.0000000	0		NOT DONE		8237	0
3800	shape	ordinance	point in the center of Bordners Run, a corner of land of the Borough of Millersville	100007	-76.3478240	40.0071930	-0.75				8239	171.481
3801	shape	ordinance	iron pin, a present corner of New Salem Borough, [?] said pin being located on line of lands owned by Annie Baublitz an[d] by Harry C. and Audrey J. Wright, the said pin being distant South eighty-one degrees West, 709.5 feet from a White Oak, also a prese[nt] corner of New Salem Borough	100007	-76.7960280	39.9094380	-6				8241	-1
3802	shape	decree (DCED)	point, said point being the center line of the Pennsylvania Railroad, as now located, and Legislative Route No. 64171	100007	-79.5883658	40.2279355	-9	m			8242	0
3803	shape	ordinance (filed with Court)	spike set for the southeasterly corner of this about to be described tract, said spike being set at the point of intersection of the title line of Leg. Rt. 15012, leading in the northeasterly direction to Elkdale and the northwesterly direction to Oxford, with the title line of Public Road T-338	100007	-75.9524288	39.7834529	-4	m			8244	65.469
3804	shape	ordinance	point on the southern line of Philips Heights and the existing Philipsburg Borough line, said point being South seventy-three degrees twenty-five minutes West (S 73° 25' W) a distance of four hundred twenty-five and ten hundredths (425.10') feet from the southeastern corner of Philips Heights	100007	-78.2066659	40.8869287	-5.25	m			8245	37.55
3805	shape	ordinance	iron pipe along the Eastern side of Cove Land Road (T.R. 07005), said pipe being on the present line of Roaring Spring Borough at the division line between properties now or formerly of Chalmer A. Grace, E. F. Smith, and the Southern Blair County Joint School Authority	100007	-78.3885541	40.3320829	-7	m			8246	-1
3806	shape	ordinance	point on a line north two degrees, eight minutes, fifteen seconds west (N. 2° - 8' - 15" W.) of Orchard Road, which point is at the intersection of the present northern boundary of South Hanover Township, with the common boundary of East Hanover Township and West Hanover Township	100007	-76.6964605	40.3201562	-16				8248	-1
3807	shape	ordinance	Northwest corner thereof at a spike in the Western edge of the macadam roadway of said State Highway, which point marks a corner of property now or late of Parke E. Edwards and wife	100007	-76.1799448	39.9887528	-5	m			8250	0
3808	line after	report of commissioners	point on the Northeasterly side of Upland Avenue and in the line dividing the City of Chester and the Borough of Upland, said point being located S 69°-18'56" E 107.55 from the Northeast corner of Twenty-first Street and Upland Avenue	100007	-75.3703938	39.8575735	-8.5	m			8251	0
3809	shape	ordinance (docket)	southwest corner thereof at a point at lands now or formerly of Frank McWilliams	100007	-80.2589530	41.1152330	-3.4				8252	0
3810	shape	ordinance (docket)	point in the Northwest corner of this parcel in line of lands of Arthur Graybill	100007	-77.0391019	40.7822024	-8.5				8269	-1
3811	shape	ordinance	point on the west side of North Prince Street on the present Borough boundary line, said point being located by a course of North eighteen degrees forty-seven minutes West, one thousand thirty-six and fifty-two hundredths feet (N 18° 47' W 1,036.52' ) from a concrete monument set at the southwest corner of said North Prince Street and Charlotte Street	100007	-76.3627480	40.0063910	-1.3				8271	163.5
3812	shape	ordinance	point in the center line of West Main Street, a corner of lands now or late of Nelson Benn, said point being Southwest of the center line intersection of West Main Street and Northwestern Street	100007	-76.1074732	40.0961782	-7	m			8274	6.76
3813	shape	ordinance	point in the center of North Decatur Street (Penna. Leg. Route 36011), said point being the existing boundary line of the Borough of Strasburg	100007	-76.1799047	39.9886230	-3.5	m			8276	47.227
3814	shape	decree (recorded)	point on line of lands of Troy Borough, said point being the northeasternmost corner of lands of Gerald Vickery, Jr.	100007	-76.7804646	41.7906312	0				8277	0
3815	shape	ordinance	point said point being on the line between The Borough of Waynesboro and the Township of Washington and also the south east corner of lands of the Potomac Edison Company	100007	-77.5771223	39.7681643	0	m			8279	38.948
3816	shape	ordinance (DCED)	point on the Westerly side of 30th Avenue between 3rd and 2nd Streets which Avenue and Streets are in the City of Altoona, Blair County, Pennsylvania	100007	-78.4107804	40.5331033	0				8282	188
3817	shape	ordinance (newspaper)	post on the Spangler Borough-Barr Township line, at its intersection with a corner of land of William J. Doran and Robert Sabella, et ux.	100007	-78.7839840	40.6451460	-2.7			Spangler	8284	32
3818	shape	ordinance	point in the center line of Pennsylvania Route No. 34 (South Hanover Street extended) at the present Borough Line	100007	-77.1912378	40.1864509	-4.8	m			8289	41.092
3819	shape	ordinance (DCED)	point on the south side of Pennsylvania Route 712 being the public road leading from Bangor to East Bangor	100007	-75.1938630	40.8782060	-6.8				8298	30.67
3820	shape	ordinance	point in the center of the Grove City-Mercer Public Road, which point is the northeast corner of the land herein described	100007	0.0000000	0.0000000	0				8305	0
3821	shape	petition to Board of Elections (DCED)	point on the existing northern Borough line, said point being located and referenced north 86 degrees 04 minutes 51 seconds east, a distance of 172.8 feet from the center line of Shippen Dam Road (L.R.#22001) (aforementioned bearing and distance is the same as south 89 degrees 37 minutes east, a distance of 172.8 feet as shown on the Official Borough Map of Millersburg)	100007	-76.9563827	40.5487900	0	m			8317	59.444
3822	shape	ordinance	point in the dividing line between Pine Grove Borough and fine Grove Township, said point being at the intersection of the center line of Gensemer Street, where said center line intersects with the original projected West line of lands of the Ex-Service Men's Club of the American Legion	100007	-76.3860290	40.5599370	-8.15				8322	-1
3823	shape	ordinance (docket)	point on the Township line between Smithfield Township and Walker Township, and at the corner of lands of Dorothy S. Weikert and at the center line of Highway Route No. 26 leading from McConnellstown to Huntingdon	100007	0.0000000	0.0000000	0				8328	-1
3824	shape	decree nisi (docket)	point on the present Southern boundary line of South Annville Township and the present Northern boundary line of South Londonderry Township, said point being 367.89 feet west of the present Western boundary line of West Cornwall Township	100007	-76.4718785	40.2502384	-3.2				8329	8.298
3825	shape	petition exhibit (DCED)	point on the Blair-Cambria County Line in LR 11035 at Pennsylvania Department of Highway Station 0/70, and 74 + 17 of the survey of the County Line	100007	-78.5440153	40.4891375	-6.65	i		Tract	8334	206
3826	whole before	petition exhibit (DCED)	point on the Blair-Cambria County line; said point also being located on the center line of LR 11035	100007	-78.5445781	40.4840993	-5.9	i		Before	8334	0
3827	shape	ordinance	point at the intersection of the westerly side of Bianchard Street and the northerly edge of the abandoned right of way of the Nittany Valley Railroad	100007	0.0000000	0.0000000	0			Parcel 2	8341	0
3828	shape	ordinance	intersection of the easterly side of Blanchard Street and the present Borough Line	100007	0.0000000	0.0000000	0			Parcel 1	8341	0
3829	shape	ordinance	point at the intersection of the present Borough south boundary line and the center line of Blanchard Street, formerly known as the Lewistown Turnpike	100007	0.0000000	0.0000000	0			Blanchard Street	8341	0
3830	line after	decree exhibit	point at the intersection of Stony Run, a tributary to Conewago Creek and the center line of Rosstown Road (Relocated) Pa. Route #177. L.R. #66006, Section 5, designated center line highway station 618+50.00, see Pennsylvania Department of Highways Plans, District 8-0, York County, Route #66006-5, Sheet #19 of 27, also being a port on the northern line of Warrington Township	100007	-76.8663870	40.1139240	0			Part 2	8348	0
3831	line after	decree exhibit	point at Pennsylvania Department of Highways Legislative Route #66113	100007	-76.8327030	40.1576930	-3.55			Part 1	8348	0
3832	shape	ordinance (DCED)	point on the line between the City of Franklin and the Township of Sugarcreek, said point being the southwest corner of a parcel of land conveyed by Joseph C. Billig and Gladys M. Billig, his wife, to Leroy C. Milner and Luella M. Milner, his wife, by a deed dated March 15, 1947, and recorded on March 17, 1947, in Deed Book No. 523 at page 497, said point being also located North 31° 08' East three hundred twenty-one and twelve hundredths (321.12) feet from monument No. 1 in North Thirteenth Street and South 50° 30'  East six hundred sixty and twenty-one hundredths (660.21) feet from the monument at or near the intersection of Grant Street and North Thirteenth Street, commonly called Cofield's Corner	100007	-79.8306140	41.4038370	0				8350	0
3833	shape	ordinance (DCED)	point on the northerly line of land conveyed by First National Bank of Meadville, Pa., et al, to A. M. Harter, et al, by deed dated June 11, 1959, and recorded in the Office of the Recorder of Deeds of Venango County, Pennsylvania, in Deed Book 635, page 26, said point also being at the northeasterly corner of land conveyed by A. M. Harter, et al, to A. C. Laing and R. W. Laing by deed dated December 8, 1964, and recorded in said Recorder's Office in Deed Book Vol. 682, page 32	100007	-79.8364113	41.4176389	1				8351	155.63
3834	shape	ordinance (DCED)	point on the southerly bank of French Creek on the line dividing lands of the City of Franklin and lands formerly of Alfred Nickers on and John Honis at the northwesterly corner of the tract of land herein described	100007	-79.8659828	41.4136160	3.2	i			8352	452.37
3835	shape	map		100007	-75.8938658	41.2975134	-3.3				8358	320.88
3836	shape	ordinance (docket)	corner common to lands now or formerly of Homewood Church Homes, Inc. and land now or formerly of Morrison Cove Home for the Aged, said corner being marked by a tack in a lead plug set in a wall located on the Westerly right of way line of Penna. Legislative Route 286	100007	-78.3284131	40.3053404	-7	m			8359	32.182
3837	shape	ordinance (docket)	iron pin, which said pin is located a distance of fifty and twenty hundredths (50.20) feet on a course South sixty-nine (69) degrees forty-eight (48) minutes E. from a Borough line located on the Northwest corner of lot nor or formerly of Jesse Hoover	100007	-78.3161822	40.3096235	-6.75	m			8360	38.095
3838	shape	ordinance (docket)	drill hole marking the intersection of the northerly curb line of West Allegheny Street with the Westerly right of way line of North Mansard Street, as set forth on the plan of "Westview Heights" as surveyed by Harry Cunard as revised to November 13, 1971	100007	-78.3316406	40.3150825	-13	m			8361	-1
3839	shape	ordinance	corner in the center line of Water Street Township Route No. T-506, the aforesaid point of Beginning being the most northeastern corner of the herein described tract, also being a corner in the existing southern Borough Line of the Borough of Womelsdorf and being south thirty degrees fifty seven minutes west (S. 30° 57' W.), a distance of one hundred thirteen feet (113.00') from a railroad spike at the intersection of the center line of the aforesaid Water Street, Township Route No. T-506 and the intersection of the center line of Jefferson Street	100007	-76.1834966	40.3598834	-7.55			1974-7	8377	2.67
3840	shape	ordinance	point, said point being the intersection of the southerly corporate boundary line of the Borough of Womelsdorf, with the centerline of Water Street, as shown on the topographical plan of the Borough of Womelsdorf	100007	-76.1834912	40.3598875	-6.3			1969-4	8377	8.5
3841	shape	ordinance	point in the center of U. S. 11 at the northeast corner of the land of Mary M. Bishop and the northwest corner of the land of H. E. Barnhart, et ux	100007	-77.2110897	40.2020213	-6.4	m			8380	724.153
3842	shape exception	decree, amended (DCED)	point in the center line of Harrison City-Export Road at line of lands now or formerly of Louis Scarton	100007	-79.6253340	40.4141590	2.25			Exception 1	8393	50
3843	shape exception	decree, amended (DCED)	point on the easterly line of a certain 20 foot wide alley at the dividing line between the tract herein described and lands of Export Borough	100007	-79.6204520	40.4183030	0			Exception 2	8393	10
3844	shape exception	decree, amended (DCED)	point common to Delmont Borough, salem Township, and the land herein described	100007	-79.5784380	40.4089480	-4.55			Exception 4	8393	24.259
3845	shape exception	decree, amended (DCED)	point at the corner of lands now or formerly of Jay W. Riddle, land known as the Fourth Addition of Bel-Aire Manor and land herein described	100007	-79.5914950	40.4138490	-2.75			Exception 3	8393	54.571
3846	shape	petition (filed with Court)	iron pin in center line of Beaver Drive, a fifty (50) feet wide roadway on the North-South line of Knox Borough, said iron pin being the Southwest corner of the herein described parcel	100007	-79.5436549	41.2383285	0				8437	3.97
3847	shape	petition to Board of Elections	stone marker at corner of lands of Newport School District and lands of C. E. Reisinger	100007	-77.1397345	40.4805722	5				8448	18.45
3848	shape	decree (DCED)	point on the Northerly side of Baldwin Road, 40 feet wide, as presently located, at the line dividing the property herein described from lands now or formerly of Robert F. Barnett et ux	100007	-80.1003450	40.4256040	-3.45			Tract 2	8449	0
3849	shape	decree (DCED)	point on the Northerly side of Baldwin Road, 40 feet wide, at the line of property now of T. Petrovic, formerly Yeager	100007	-80.0978120	40.4287100	-3			Tract 1	8449	0
3850	shape	petition to Board of Elections	INCLUDING ALSO that right of way extending from State Highway in a general easterly direction, to the land herein conveyed over what is known as designated as Electric Avenue in Plan of Lots surveyed by Earl Palm, dated November 1949. The said right of way beginning at State Highway	100007	-77.3093601	40.3437864	-9			Tract 2	8454	0
3851	shape	petition to Board of Elections	point on High Street at land now or formerly of George Womer	100007	-77.3067704	40.3438457	-9			Tract 1	8454	0
3852	shape	deed (recorded)	white oak	100007	-80.4434502	40.6530019	0.8	m			8464	175.513
3853	shape	decree (DCED)	point in the center line of the Mt. Jackson-Petersburg Road, also known as Route 108, where the same is intersected by the East line of lands of John L. Mummey	100007	-80.5097921	40.9300774	1.75	i			8471	490.87
3854	shape	resolution (Upper Allen)	point, said point being the center of Simpson Ferry Road (L.R. 570) marked with an iron pin[, North 80 degrees 20 minutes East, 1805.79 feet frm the intersection of Wesley Drive, marked by an iron pin]	100007	-76.9842730	40.2173738	-4.02	i			8473	-1
3855	shape	ordinance (filed with Court)	stake at the River Schuylkill, adjoining land of Levi Phillips	100007	-76.1176800	40.6013230	-5.35				8476	-1
3856	shape	ordinance	point in the northeast corner of lot no. 31 now owned by Walter Birch and Ethel Birch in corner of lands heretofore annexed to the Borough of Burnham by Ordinance no. 1969-10 enacted on October 24, 1969	100007	-77.5567960	40.6291950	-3.95				8486	0
3857	shape	ordinance (DCED)	point on the former eastern line of the State Highway leading from Carlisle to Mount Holly Springs, Route 34, on the present boundary line of the Borough of Carlisle	100007	-77.1912001	40.1867051	-4.8	m			8487	4.5
