sourcecitationid	source	sourcecitationdate	sourcecitationdatetype	sourcecitationdaterange	sourcecitationdaterangetype	sourcecitationvolume	sourcecitationpagefrom	sourcecitationpageto	sourcecitationurl	sourcecitationtypetitle	sourcecitationperson	sourcecitationgovernmentreferences	sourcecitationarchiveslotfilm	sourcecitationarchivecarton	sourcecitationstatus	sourcecitationissue	sourcecitationname
7443	508	2014-01-18	Last Updated						http://www.yoset.org/history/twp/Mead.html			Mead Township					19
7444	508	2014-01-18	Last Updated						http://www.yoset.org/history/twp/Venango.html			Venango Township					1
7445	508	2014-01-18	Last Updated						http://www.yoset.org/history/twp/Troy.html			Troy Township					1
7446	508	2014-01-18	Last Updated						http://www.yoset.org/history/twp/SShenango.html			South Shenango Township					1
7447	508	2014-01-18	Last Updated						http://www.yoset.org/history/twp/Neshannock.html			Neshannock Township					2
7448	508	2014-01-18	Last Updated						http://www.yoset.org/history/twp/Neshannock.html			Neshannock Township					3
7449	508	2014-01-18	Last Updated						http://www.yoset.org/history/twp/Sadsbury.html			Sadsbury Township					1
7450	508	2014-01-18	Last Updated						http://www.yoset.org/history/twp/Sadsbury.html			Sadsbury Township					2
7451	508	2014-01-18	Last Updated						http://www.yoset.org/history/twp/NShenango.html			North Shenango Township					3
7452	508	2014-01-18	Last Updated						http://www.yoset.org/history/twp/NShenango.html			North Shenango Township					4
7453	508	2014-01-18	Last Updated						http://www.yoset.org/history/twp/OilCreek.html			Oil Creek Township					6
7454	508	2014-01-18	Last Updated						http://www.yoset.org/history/twp/OilCreek.html			Oil Creek Township					7
7455	508	2014-01-18	Last Updated						http://www.yoset.org/history/twp/OilCreek.html			Oil Creek Township					8
7456	508	2014-01-18	Last Updated						http://www.yoset.org/history/twp/SShenango.html			South Shenango Township					2
7457	508	2014-01-18	Last Updated						http://www.yoset.org/history/twp/OilCreek.html			Oil Creek Township					9
7458	508	2014-01-18	Last Updated						http://www.yoset.org/history/twp/PennLine.html			Penn Live Township					
7459	508	2014-01-18	Last Updated						http://www.yoset.org/history/twp/Pine.html			Pine Township					3
7460	508	2014-01-18	Last Updated						http://www.yoset.org/history/twp/Pitt.html			Pitt Township					1
7461	508	2014-01-18	Last Updated						http://www.yoset.org/history/twp/Pitt.html			Pitt Township					2
7462	508	2014-01-18	Last Updated						http://www.yoset.org/history/twp/Plum.html			Plum Township					1
7463	508	2014-01-18	Last Updated						http://www.yoset.org/history/twp/Plum.html			Plum Township					2
7464	508	2014-01-18	Last Updated						http://www.yoset.org/history/twp/Plum.html			Plum Township					3
7465	508	2014-01-18	Last Updated						http://www.yoset.org/history/twp/Shenango.html			Shenango Township					1
7466	508	2014-01-18	Last Updated						http://www.yoset.org/history/twp/Shenango.html			Shenango Township					2
7467	451					1	527	527		CHAPTER XXXV: NORTH MAHONING TOWNSHIP							
7468	508	2014-01-18	Last Updated						http://www.yoset.org/history/twp/Randolph.html			Randolph Township					1
7469	508	2014-01-18	Last Updated						http://www.yoset.org/history/twp/Randolph.html			Randolph Township					2
7470	508	2014-01-18	Last Updated						http://www.yoset.org/history/twp/Shenango.html			Shenango Township					3
7471	508	2014-01-18	Last Updated						http://www.yoset.org/history/twp/OilCreek.html			Oil Creek Township					10
7472	508	2014-01-18	Last Updated						http://www.yoset.org/history/twp/SShenango.html			South Shenango Township					3
7473	508	2014-01-18	Last Updated						http://www.yoset.org/history/twp/Richmond.html			Richmond Township					
7474	508	2014-01-18	Last Updated						http://www.yoset.org/history/twp/Rockdale.html			Rockdale Township					1
7475	508	2014-01-18	Last Updated						http://www.yoset.org/history/twp/Rockdale.html			Rockdale Township					2
7476	508	2014-01-18	Last Updated						http://www.yoset.org/history/twp/Rockdale.html			Rockdale Township					3
7477	508	2014-01-18	Last Updated						http://www.yoset.org/history/twp/Rockdale.html			Rockdale Township					4
7478	508	2014-01-18	Last Updated						http://www.yoset.org/history/twp/Rockdale.html			Rockdale Township					5
7479	508	2014-01-18	Last Updated						http://www.yoset.org/history/twp/Rome.html			Rome Township					1
7480	508	2014-01-18	Last Updated						http://www.yoset.org/history/twp/Royalton.html			Royalton Township					
7481	508	2014-01-18	Last Updated						http://www.yoset.org/history/twp/Sadsbury.html			Sadsbury Township					3
7482	508	2014-01-18	Last Updated						http://www.yoset.org/history/twp/Shenango.html			Shenango Township					4
7483	508	2014-01-18	Last Updated						http://www.yoset.org/history/twp/Rome.html			Rome Township					2
7484	508	2014-01-18	Last Updated						http://www.yoset.org/history/twp/Vernon.html			Vernon Township					1
7485	508	2014-01-18	Last Updated						http://www.yoset.org/history/twp/Sadsbury.html			Sadsbury Township					4
7486	508	2014-01-18	Last Updated						http://www.yoset.org/history/twp/Sadsbury.html			Sadsbury Township					5
7487	508	2014-01-18	Last Updated						http://www.yoset.org/history/twp/Salem.html			Salem Township					3
7488	508	2014-01-18	Last Updated						http://www.yoset.org/history/twp/Salem.html			Salem Township					4
7489	508	2014-01-18	Last Updated						http://www.yoset.org/history/twp/SandyLake.html			Sandy Lake Township					1
7490	508	2014-01-18	Last Updated						http://www.yoset.org/history/twp/SandyLake.html			Sandy Lake Township					2
7491	34						32	32		BOROUGHS		ST. CLAIR					1
7492	508	2014-01-18	Last Updated						http://www.yoset.org/history/twp/Snowhill.html			Snowhill Township					1
7493	508	2014-01-18	Last Updated						http://www.yoset.org/history/twp/Troy.html			Troy Township					2
7494	508	2014-01-18	Last Updated						http://www.yoset.org/history/twp/Sparta.html			Sparta Township					1
7495	508	2014-01-18	Last Updated						http://www.yoset.org/history/twp/Sparta.html			Sparta Township					2
7496	508	2014-01-18	Last Updated						http://www.yoset.org/history/twp/Spring.html			Spring Township					1
7497	508	2014-01-18	Last Updated						http://www.yoset.org/history/twp/Spring.html			Spring Township					2
7498	508	2014-01-18	Last Updated						http://www.yoset.org/history/twp/SShenango.html			South Shenango Township					4
7499	508	2014-01-18	Last Updated						http://www.yoset.org/history/twp/Snowhill.html			Snowhill Township					2
7500	508	2014-01-18	Last Updated						http://www.yoset.org/history/twp/SShenango.html			South Shenango Township					5
7501	508	2014-01-18	Last Updated						http://www.yoset.org/history/twp/WShenango.html			West Shenango Township					1
7502	508	2014-01-18	Last Updated						http://www.yoset.org/history/twp/Union.html			Union Township					1
7503	508	2014-01-18	Last Updated						http://www.yoset.org/history/twp/Steuben.html			Steuben Township					1
7504	34						1	1		TOWNSHIPS		CHARTIERS					
7505	451					1	538	538		CHAPTER XXXVI: SOUTH MAHONING TOWNSHIP—PLUMVILLE BOROUGH							
7506	508	2014-01-18	Last Updated						http://www.yoset.org/history/twp/SugarCreek.html			Sugar Creek Township					2
7507	508	2014-01-18	Last Updated						http://www.yoset.org/history/twp/SugarCreek.html			Sugar Creek Township					3
7508	508	2014-01-18	Last Updated						http://www.yoset.org/history/twp/SugarCreek.html			Sugar Creek Township					4
7509	508	2014-01-18	Last Updated						http://www.yoset.org/history/twp/Summerhill.html			Summerhill Township					1
7510	508	2014-01-18	Last Updated						http://www.yoset.org/history/twp/Summerhill.html			Summerhill Township					2
7511	508	2014-01-18	Last Updated						http://www.yoset.org/history/twp/Summerhill.html			Summerhill Township					3
7512	508	2014-01-18	Last Updated						http://www.yoset.org/history/twp/Summit.html			Summit Township					
7513	508	2014-01-18	Last Updated						http://www.yoset.org/history/twp/Vernon.html			Vernon Township					2
7514	508	2014-01-18	Last Updated						http://www.yoset.org/history/twp/WFallowfield.html			West Fallowfield Township					1
7515	508	2014-01-18	Last Updated						http://www.yoset.org/history/twp/Washington.html			Washington Township					
7516	508	2014-01-18	Last Updated						http://www.yoset.org/history/twp/Troy.html			Troy Township					3
7517	508	2014-01-18	Last Updated						http://www.yoset.org/history/twp/WShenango.html			West Shenango Township					2
7518	508	2014-01-18	Last Updated						http://www.yoset.org/history/twp/WSalem.html			West Salem Township					1
7519	508	2014-01-18	Last Updated						http://www.yoset.org/history/twp/Union.html			Union Township					2
7520	508	2014-01-18	Last Updated						http://www.yoset.org/history/twp/Venango.html			Venango Township					2
7521	468	1910-06-28					1	1		BOROUGH COUNCIL DEADLOCKED OVER GARBAGE QUESTION							
7522	114	1940-05-06					18	18		ORDINANCE NO. 154							
7523	158	1966-05-06					14	14		ORDINANCE NO. 221							
7524	407	1937-07-17					14	14		ORDINANCE NO. 6							
7525	508	2014-01-18	Last Updated						http://www.yoset.org/history/twp/Venango.html			Venango Township					3
7526	508	2014-01-18	Last Updated						http://www.yoset.org/history/twp/Wayne.html			Wayne Township					1
7527	508	2014-01-18	Last Updated						http://www.yoset.org/history/twp/WFallowfield.html			West Fallowfield Township					2
7528	133									BETHEL PARK BOROUGH (1972-73)		Allegheny County					1
7529	133									PORTAGE BOROUGH (1992)		Cambria County					
7530	508	2014-01-18	Last Updated						http://www.yoset.org/history/twp/Vernon.html			Vernon Township					3
7531	508	2014-01-18	Last Updated						http://www.yoset.org/history/twp/Vernon.html			Vernon Township					4
7532	508	2014-01-18	Last Updated						http://www.yoset.org/history/twp/Vernon.html			Vernon Township					5
7533	508	2014-01-18	Last Updated						http://www.yoset.org/history/twp/WSalem.html			West Salem Township					2
7534	508	2014-01-18	Last Updated						http://www.yoset.org/history/twp/WMead.html			West Mead Township					1
7535	508	2014-01-18	Last Updated						http://www.yoset.org/history/twp/Greenwood.html			Greenwood Township					5
7536	508	2014-01-18	Last Updated						http://www.yoset.org/history/twp/Wayne.html			Wayne Township					2
7537	101	1919-12-02					1	1		EAST CANONSBURG ANNEXED--FRICK DEAD--PRESIDENT'S MESSAGE: BORO GREATLY ENLARGED BY ACTION IN COUNCIL: New Philadelphia Also Included in Ordinance Which Is Passed Unanimously and Signed by Burgess							
7538	508	2014-01-18	Last Updated						http://www.yoset.org/history/twp/Wayne.html			Wayne Township					3
7539	508	2014-01-18	Last Updated						http://www.yoset.org/history/twp/Woodcock.html			Woodcock Township					2
7540	508	2014-01-18	Last Updated						http://www.yoset.org/history/twp/Vernon.html			Vernon Township					6
7541	508	2014-01-18	Last Updated						http://www.yoset.org/history/twp/Venango.html			Venango Township					4
7542	508	2014-01-18	Last Updated						http://www.yoset.org/history/twp/Wayne.html			Wayne Township					4
7543	508	2014-01-18	Last Updated						http://www.yoset.org/history/twp/WFallowfield.html			West Fallowfield Township					3
7544	508	2014-01-18	Last Updated						http://www.yoset.org/history/twp/Woodcock.html			Woodcock Township					3
7545	508	2014-01-18	Last Updated						http://www.yoset.org/history/twp/WMead.html			West Mead Township					2
7546	508	2014-01-18	Last Updated						http://www.yoset.org/history/twp/WMead.html			West Mead Township					3
7547	101	1919-12-02					4	4		ORDINANCE NO. 118							
7548	101	1923-03-20					1	1		TOWN COUNCIL PASSES ORDINANCE ANNEXING WHITE LAWN TERRACE: PARTS OF TWO TOWNSHIPS ARE ADDED TO BORO							
7549	101	1923-03-21					6	6		ORDINANCE NO. 184							
7550	34						4	4		TOWNSHIPS		MARION					
7551	508	2014-01-18	Last Updated						http://www.yoset.org/history/twp/WFallowfield.html			West Fallowfield Township					4
7553	508	2014-01-18	Last Updated						http://www.yoset.org/history/twp/Woodcock.html			Woodcock Township					4
7554	508	2014-01-18	Last Updated						http://www.yoset.org/history/twp/Woodcock.html			Woodcock Township					5
7555	508	2014-01-18	Last Updated						http://www.yoset.org/history/twp/Woodcock.html			Woodcock Township					6
7556	507	2013-01-07	Last Updated						http://www.yoset.org/history/boro/Saegertown.html			Saegerstown / Saegertown					5
7557	34						9	9		TOWNSHIPS		UPPER ST. CLAIR					
7558	133									CRANBERRY TOWNSHIP (1972-73)		Butler County					
7559	133									LOWER MIFFLIN TOWNSHIP		Cumberland County					
7560	133									DAUPHIN COUNTY		Dauphin County					
7561	133									HARRISBURG		Dauphin County					
7562	508	2014-01-18	Last Updated						http://www.yoset.org/history/twp/EFallowfield.html			East Fallowfield Township					
7563	507	2013-01-07	Last Updated						http://www.yoset.org/history/boro/Geneva.html			Geneva					2
7564	507	2013-01-07	Last Updated						http://www.yoset.org/history/boro/Vallonia.html			Valonia / Vallonia / Vallonia City					2
7565	507	2013-01-07	Last Updated						http://www.yoset.org/history/boro/Hartstown.html			Hartford / Hartstown					3
7566	507	2013-01-07	Last Updated						http://www.yoset.org/history/boro/Cochranton.html			Cochranton					2
7567	507	2013-01-07	Last Updated						http://www.yoset.org/history/boro/Woodcock.html			Woodcock					2
7568	507	2013-01-07	Last Updated						http://www.yoset.org/history/boro/Meadville.html			Meadville					11
7569	507	2013-01-07	Last Updated						http://www.yoset.org/history/boro/Venango.html			Venango					3
7570	133									BRADFORD WOODS BOROUGH (1972-74)		Allegheny County					
7571	133									WEATHERLY BOROUGH		Carbon County					
7573	109	1901-03-09					9	9		ORDINANCE NO. 187							2
7574	109	1901-03-02					9	9		[Partial text of an ordinance]							
7575	109	1910-11-05					8	8		Ordinance No. 482							
7578	507	2013-01-07	Last Updated						http://www.yoset.org/history/boro/Riceville.html			Riceville					2
7579	508	2014-01-18	Last Updated						http://www.yoset.org/history/twp/Sadsbury.html			Sadsbury Township					6
7580	508	2014-01-18	Last Updated						http://www.yoset.org/history/twp/OilCreek.html			Oil Creek Township					11
7581	508	2014-01-18	Last Updated						http://www.yoset.org/history/twp/OilCreek.html			Oil Creek Township					12
7582	10	1949-02-17		1948-02-18	Received	17500449	178	178				Hollidaysburg Borough (Blair)	film 56	box 6			
7584	507	2013-01-07	Last Updated						http://www.yoset.org/history/boro/Geneva.html			Geneva					3
7585	507	2013-01-07	Last Updated						http://www.yoset.org/history/boro/Cambridge.html			Cambridge / Cambridge Springs					2
7586	34						1	1		TOWNSHIPS		BROWN					
7587	451					1	572	572		CHAPTER XLV: YOUNG TOWNSHIP—JACKSONVILLE BOROUGH							
7588	507	2013-01-07	Last Updated						http://www.yoset.org/history/boro/Linesville.html			Linesville					2
7589	507	2013-01-07	Last Updated						http://www.yoset.org/history/boro/Hydetown.html			Oil Creek / Hydetown					2
7590	34						8	8		TOWNSHIPS		SNOWDEN					
7591	508	2014-01-18	Last Updated						http://www.yoset.org/history/twp/Spring.html			Spring Township					3
7592	13	1952-12-09									Gwen, Lewis L. (Engineer)	Altoona City (Blair)	film 51	box 8			3
7593	391	1905-01-04		1905-01-05	Received						Linton, Harvey (Engineer)	Altoona City (Blair)	film 16	box 3			17
7594	178	1920-03-02					1	1		Annexation Fight is on: Mifflin Residents Divide--Some Want to Joint Homestead, Others Munhall							
7595	178	1920-03-09					1	1		HOMESTEAD TRIES TO BLOCK MUNHALL: At a Quiet Session Local Council Annexes Same Territory- Legal Fight For Mifflin Territory Will Likely Follow							
7596	178	1920-03-09					3	3		Ordinance							
7597	178	1920-03-03					1	1		Munhall Annexes Mifflin Territory; Told Whitaker wants to be Taken In							
7598	178	1920-03-04					3	3		An Ordinance							
7599	508	2014-01-18	Last Updated						http://www.yoset.org/history/twp/Spring.html			Spring Township					4
7600	508	2014-01-18	Last Updated						http://www.yoset.org/history/twp/Cambridge.html			Cambridge Township					4
7601	451					1	574	574		CHAPTER XLV: YOUNG TOWNSHIP—JACKSONVILLE BOROUGH							1
7602	133									PATTON TOWNSHIP		Centre County					
7603	508	2014-01-18	Last Updated						http://www.yoset.org/history/twp/Steuben.html			Steuben Township					2
7604	508	2014-01-18	Last Updated						http://www.yoset.org/history/twp/Rome.html			Rome Township					3
7605	508	2014-01-18	Last Updated						http://www.yoset.org/history/twp/EMead.html			East Mead Township					1
7606	508	2014-01-18	Last Updated						http://www.yoset.org/history/twp/EMead.html			East Mead Township					2
7607	508	2014-01-18	Last Updated						http://www.yoset.org/history/twp/Mead.html			Mead Township					20
7608	507	2013-01-07	Last Updated						http://www.yoset.org/history/boro/Spartansburg.html			Spartansburgh / Spartansburg					2
7609	178	1929-04-24					7	7		Ordinance No. 232							2
7610	451					1	517	517		CHAPTER XXXIV: EAST MAHONING TOWNSHIP—MARION CENTER BOROUGH 							2
7611	34						28	28		BOROUGHS		OAKMONT					
7612	34						3	3		TOWNSHIPS		INDIANA					
7613	34						1	1		TOWNSHIPS		ALEPPO					
7614	34						23	23		BOROUGHS		IDLEWOOD					
7615	34						15	15		BOROUGHS		CHARTIERS					
7616	34						18	18		BOROUGHS		EAST McKEESPORT					
7617	34						19	19		BOROUGHS		EDGEWOOD					
7618	34						3	3		TOWNSHIPS		LINCOLN					
7619	34						21	21		BOROUGHS		GLENFIELD					
7620	34						20	20		BOROUGHS		ELIZABETH					
7621	34						21	21		BOROUGHS		GLASSPORT					
7622	34						20	20		BOROUGHS		EMSWORTH					
7623	34						32	32		BOROUGHS		SPRINGDALE					
7624	34						35	35		BOROUGHS		WESTWOOD					
7625	34						29	29		BOROUGHS		OVERBROOK					
7626	34						25	25		BOROUGHS		MONOGAHELA:					
7627	34						2	2		TOWNSHIPS		CRESCENT					
7628	34						19	19		BOROUGHS		EAST PITTSBURGH					
7629	34						9	9		TOWNSHIPS		WEST DEER					
7630	34						9	9		TOWNSHIPS		VERSAILLES					1
7631	34						18	18		BOROUGHS		DUQUESNE					
7632	34						15	15		BOROUGHS		CASTLE SHANNON					
7633	34						15	15		BOROUGHS		CHESWICK					
7634	34						3	3		TOWNSHIPS		HARRISON					
7635	34						22	22		BOROUGHS		HEIDELBERG					
7636	34						22	22		BOROUGHS		HAYSVILLE					
7637	34						2	2		TOWNSHIPS		FAWN					
7638	34						2	2		TOWNSHIPS		EAST DEER					
7639	34						28	28		BOROUGHS		ORMSBY					
7640	34						9	9		TOWNSHIPS		VERSAILLES					2
7641	34						2	2		TOWNSHIPS		FORWARD					
7642	34						23	23		BOROUGHS		INGRAM					
7643	34						5	5		TOWNSHIPS		NEVILLE					
7644	34						26	26		BOROUGHS		MONTOOTH					
7645	34						25	25		BOROUGHS		MENTONE					
7646	34						21	21		BOROUGHS		GARFIELD					
7647	34						5	5		TOWNSHIPS		McNAIR					
7648	34						5	5		TOWNSHIPS		O'HARA					
7649	133									CLAIRTON CITY		Allegheny County					
7650	133									BELLEFONTE BOROUGH		Centre County					
7651	34						15	15		BOROUGHS		CARRICK					
7652	34						8	8		TOWNSHIPS		STOWE					
7653	34						4	4		TOWNSHIPS		MELLON					
7654	34						13	13		BOROUGHS		BRADFORD WOODS					
7655	34						30	30		BOROUGHS		ROSSLYN FARMS					
7656	34						25	25		BOROUGHS		MANSFIELD					
7657	34						8	8		TOWNSHIPS		ST. CLAIR					
7658	34						6	6		TOWNSHIPS		PLUM(b)					
7659	34						5	5		TOWNSHIPS		NORTH FAYETTE					
7660	34						25	25		BOROUGHS		MANCHESTER					
7661	34						24	24		BOROUGHS		MACKLIN					
7662	34						24	24		BOROUGHS		LINCOLN PLACE					
7663	34						24	24		BOROUGHS		LIBERTY					
7664	34						24	24		BOROUGHS		LEETSDALE					
7665	34						27	27		BOROUGHS		NORTH BRADDOCK					
7666	34						4	4		TOWNSHIPS		MARSHALL					
7667	34						1	1		TOWNSHIPS		BETHEL					
7668	34						1	1		TOWNSHIPS		BRADDOCK					
7669	34						11	11		BOROUGHS		ASPINWALL					
7670	34						12	12		BOROUGHS		BEECHVIEW					
7671	34						8	8		TOWNSHIPS		SPRINGDALE					
7672	34						14	14		BOROUGHS		BRENTWOOD					
7673	34						20	20		BOROUGHS		ELLIOTT					
7674	34						7	7		TOWNSHIPS		SCOTT					
7675	34						4	4		TOWNSHIPS		McCANDLESS					
7676	34						35	35		BOROUGHS		WEST PITTSBURGH					
7677	34						9	9		TOWNSHIPS		UNION					
7678	34						8	8		TOWNSHIPS		STERRETT					
7679	34						8	8		TOWNSHIPS		SOUTH VERSAILLES					
7680	34						8	8		TOWNSHIPS		SOUTH FAYETTE					
7681	34						8	8		TOWNSHIPS		SHALER					
7682	34						7	7		TOWNSHIPS		SEWICKLEY					
7683	34						11	11		BOROUGHS		ALLEGHENY					
7684	34						35	35		BOROUGHS		WHITAKER					
7685	34						35	35		BOROUGHS		WEST VIEW					
7686	34						20	20		BOROUGHS		ESPLEN					
7687	34						32	32		BOROUGHS		SOUTH					
7688	34						30	30		BOROUGHS		RANKIN					
7689	34						14	14		BOROUGHS		BRIDGEVILLE					
7690	34						12	12		BOROUGHS		BELLEVUE					
7691	34						13	13		BOROUGHS		BOSTON					
7692	34						13	13		BOROUGHS		BEN AVON HEIGHTS					
7693	133									EAST DEER TOWNSHIP		Allegheny County					
7694	133									COLLEGE TOWNSHIP		Centre County					
7695	34						27	27		BOROUGHS		McKEESPORT					
7696	34						31	31		BOROUGHS		SEWICKLEY					
7697	34						31	31		BOROUGHS		SHRADEN					
7698	34						28	28		BOROUGHS		OAKDALE					
7699	34						28	28		BOROUGHS		NORTH CLAIRTON					
7700	34						24	24		BOROUGHS		LAWRENCEVILLE					
7701	34						26	26		BOROUGHS		MOUNT LEBANON					
7702	34						24	24		BOROUGHS		KNOXVILLE					
7703	133									ARMSTRONG COUNTY (1996-97)		Armstrong County					
7704	133									BEAVER COUNTY (1984)		Beaver County					
7705	133									CHESTER CITY		Delaware County					
7706	34						23	23		BOROUGHS		HOMESTEAD					
7707	34						21	21		BOROUGHS		ETNA					
7708	34						17	17		BOROUGHS		DORMONT					
7709	34						13	13		BOROUGHS		BIRMINGHAM					
7710	34						13	13		BOROUGHS		BRADDOCK					
7711	62	1977-10-11					A3	A3	https://news.google.com/newspapers?id=Sg4vAAAAIBAJ&sjid=3toFAAAAIBAJ&pg=2144%2C1973905	Midland	Pellegrini, Mike						
7712	34						28	28		BOROUGHS		NORTHERN LIBERTIES OF PITTSBURG					
7713	34						27	27		BOROUGHS		McKEES ROCKS					
7714	34						13	13		BOROUGHS		BRACKENRIDGE					
7715	133									FORWARD TOWNSHIP		Allegheny County					
7716	133									GREEN TREE BOROUGH (1972-74)		Allegheny County					
7717	133									STATE COLLEGE BOROUGH		Centre County					
7718	34						12	12		BOROUGHS		BELTZHOOVER					
7719	34						12	12		BOROUGHS		BEN AVON					
7720	34						12	12		BOROUGHS		AVALON					
7721	34						29	29		BOROUGHS		PITTSBURGH					
7722	34						30	30		BOROUGHS		RANKIN STATION					
7723	34						29	29		BOROUGHS		PORT VUE					
7724	34						6	6		TOWNSHIPS		PITT					
7725	34						29	29		BOROUGHS		PITCARIN					
7726	34						28	28		BOROUGHS		OSBORNE (OSBURN)					
7727	34						26	26		BOROUGHS		MUNHALL					
7728	34						17	17		BOROUGHS		DRAVOSBURG					
7729	133									HAMPTON TOWNSHIP-I (1981)		Allegheny County					
7730	34						26	26		BOROUGHS		MOUNT WASHINGTON					
7731	34						26	26		BOROUGHS		MOUNT OLIVER					
7732	34						2	2		TOWNSHIPS		DEER					
7733	34						2	2		TOWNSHIPS		ELIZABETH					
7734	34						33	33		BOROUGHS		TRAFFORD CITY					
7735	34						33	33		BOROUGHS		THORNBURG					
7736	34						33	33		BOROUGHS		TEMPERANCEVILLE					
7737	34						32	32		BOROUGHS		SWISSVALE					
7738	34						32	32		BOROUGHS		ST. CLAIR					2
7739	62	1974-09-09					A4	A4	https://news.google.com/newspapers?id=COEtAAAAIBAJ&sjid=yNoFAAAAIBAJ&pg=2347%2C1822220	ORDINANCE NO. 50-74							
7740	473	1956-02-07	Received						http://geonames.usgs.gov/apex/feat_folder?p_file=1021562			Osceola Mills					1
7741	34						31	31		BOROUGHS		SHARPSBURG					
7742	34						2	2		TOWNSHIPS		FAYETTE					
7743	34						3	3		TOWNSHIPS		JEFFERSON					
7744	34						3	3		TOWNSHIPS		LIBERTY					
7745	451					1	574	574		CHAPTER XLV: YOUNG TOWNSHIP—JACKSONVILLE BOROUGH							2
7746	40	1899-12-13					3	3		Proclamation.							
7747	34						4	4		TOWNSHIPS		MIFFLIN					
7748	34						4	4		TOWNSHIPS		MOON					
7749	34						3	3		TOWNSHIPS		HARMAR					
7750	34						4	4		TOWNSHIPS		McCLURE					
7751	34						3	3		TOWNSHIPS		LEET					
7752	34						3	3		TOWNSHIPS		KIRKPATRICK					
7753	34						3	3		TOWNSHIPS		KILLBUCK					
7754	34						3	3		TOWNSHIPS		KENNEDY					
7755	34						2	2		TOWNSHIPS		HAMPTON					
7756	34						2	2		TOWNSHIPS		FRAZER					
7757	34						2	2		TOWNSHIPS		FRANKLIN					
7758	34						2	2		TOWNSHIPS		FINDLAY					
7759	34						5	5		TOWNSHIPS		OHIO					
7760	34						6	6		TOWNSHIPS		PINE					
7761	34						16	16		BOROUGHS		CHRISTY PARK					
7763	34						6	6		TOWNSHIPS		RESERVE					
7764	34						6	6		TOWNSHIPS		RICHLAND					
7765	34						7	7		TOWNSHIPS		ROBINSON					
7766	451					1	94	94		CHAPTER XII: FORMATION OF THE COUNTY							
7767	34						7	7		TOWNSHIPS		ROSS					
7768	34						16	16		BOROUGHS		CORAOPOLIS					
7769	34						7	7		TOWNSHIPS		RINGOLD					
7770	34						6	6		TOWNSHIPS		PENN					
7771	34						5	5		TOWNSHIPS		PEEBLES					
7772	34						5	5		TOWNSHIPS		PATTON					
7773	34						5	5		TOWNSHIPS		OAKLAND					
7774	34						5	5		TOWNSHIPS		NORTH VERSAILLES					
7775	34						18	18		BOROUGHS		EAST BIRMINGHAM					
7776	34						17	17		BOROUGHS		DUQUESNE					
7777	34						17	17		BOROUGHS		CRESCENT BEACH					
7778	34						16	16		BOROUGHS		CLAIRTON					
7779	473	1973-04-27	Date						http://geonames.usgs.gov/apex/feat_folder?p_file=1021564								
7780	34						15	15		BOROUGHS		CHALFANT					
7781	34						22	22		BOROUGHS		HAYS					
7782	34						14	14		BOROUGHS		CARNEGIE					
7783	34						14	14		BOROUGHS		CAMDEN					
7784	34						14	14		BOROUGHS		BRUSHTON					
7785	34						36	36		BOROUGHS		WILKINSBURG					
7786	34						36	36		BOROUGHS		WILMERDING					
7787	34						36	36		BOROUGHS		WILSON					
7788	34						4	4		TOWNSHIPS		LOWER ST. CLAIR					
7789	34						1	1		TOWNSHIPS		BALDWIN					
7790	34						4	4		TOWNSHIPS		MOUNT LEBANON					
7791	34						1	1		TOWNSHIPS		COLLINS					
7792	34						1	1		TOWNSHIPS		COLLIER					
7793	451					1	526	526		CHAPTER XXXIV: EAST MAHONING TOWNSHIP—MARION CENTER BOROUGH 							1
7794	34						21	21		BOROUGHS		GREEN TREE					
7795	34						35	35		BOROUGHS		WEST LIBERTY					
7796	34						19	19		BOROUGHS		EDGEWORTH					
7797	34						7	7		TOWNSHIPS		SEWICKLEY HEIGHTS					
7798	34						34	34		BOROUGHS		WEST HOMESTEAD					
7799	34						34	34		BOROUGHS		UNION					
7800	34						34	34		BOROUGHS		TURTLE CREEK					
7801	34						32	32		BOROUGHS		SPRING GARDEN					
7802	34						30	30		BOROUGHS		REYNOLDTON					
7803	34						25	25		BOROUGHS		MILLVALE					
7804	473	1960-11-10	Approved						http://geonames.usgs.gov/apex/feat_folder?p_file=879220			Osceola Mills					2
7805	174	1911-04-01					1	1		COMMISSION TO RULE SWATARA							
7806	34						16	16		BOROUGHS		CRAFTON					
7807	377	1838-10-13					2	2	https://news.google.com/newspapers?id=lFVUAAAAIBAJ&sjid=wI4DAAAAIBAJ&pg=3840%2C1366025	ALLEGHENY COUNTY OFFICIAL RETURNS.							
7808	373	1837-10-14					2	2	https://news.google.com/newspapers?id=oA0pAAAAIBAJ&sjid=4YUDAAAAIBAJ&pg=5966%2C3266501	ELECTION RETURNS FOR ALLEGHENY COUNTY--1837.							
7809	38						73	76		Boundaries, Ward Divisions and Annexations.							
7810	38						76	77		Boundaries, Ward Divisions and Annexations.							
7811	38						80	81		Boundaries, Ward Divisions and Annexations.							
7812	39						50	52		CHAPTER 4. ANNEXATION.							1
7813	39						52	53		CHAPTER 4. ANNEXATION.							
7814	39						54	54		CHAPTER 4. ANNEXATION.							2
7815	37						51	53		BOUNDARIES AND WARD DIVISIONS.							
7816	37						53	54		BOUNDARIES AND WARD DIVISIONS.							
7817	38						77	78		Boundaries, Ward Divisions and Annexations.							
