lawid	source	lawvolume	lawpage	lawnumberchapter	lawtype	lawtitle	lawapproved	laweffective	lawsovereign	lawurl	lawdescriptiondone	lawnumberchaptertext	lawsession	lawsessiontype	lawpublished	lawissue
1486	727	133	190	119		To incorporate the borough of Somerville, in the county of Somerset.	1909-04-16				t					\N
1487	732	143	775	2		"The Mayor and Council of the Borough of Bound Brook" changed to "The Borough of Bound Brook," February 13, 1919.					f					\N
1489	727	126	619	188		To annex to the township of Lodi, in the county of Bergen, a portion of the township of Bergen, in the said county.	1902-04-08				t					\N
1490	727	143	30	12		To incorporate the borough of Glen Gardner, in the county of Hunterdon.	1919-03-26				t					\N
1491	727	97	484	414		To Incorporate the City of Passaic.	1873-04-02				f					\N
1492	727	132	219	144		To change the name of the township of Verona, in the county of Essex, to "the township of Cedar Grove, in the county of Essex."	1908-04-09				f					\N
1493	732	154	1219	2		At a special election held on September 3, 1929, in the borough of Monmouth Beach an act pertaining to commission government was adopted.	1929-09-05				f					\N
1494	727	65	113	0		To set off the township of Van Vorst, in the county of Hudson.	1841-03-11	1841-04-12			f					\N
1495	727	133	40	23		To annex a portion of the township of Ocean, in the county of Monmouth, to the borough of Seabright, in the county of Monmouth.	1909-03-23				t					\N
1496	727	77	312	126		To incorporate the borough of Hightstown.	1853-03-05				f					\N
1497	727	120	70	38		To change the boundary line between the townships of West Amwell and Delaware, in the county of Hunterdon.	1896-03-16				t					\N
1498	727	93	317	130		To incorporate the Village of Passaic.	1869-03-10				t					\N
1499	727	126	664	211		To incorporate Somers Point as a city, and fix the boundaries thereof.	1902-04-09				t					\N
1500	727	84	187	77		To set off a part of the township of Mansfield to the town of Hackettstown, in the county of Warren.	1860-03-01				f					\N
1501	727	151	463	246		To annex a portion of the township of Haddon, in the county of Camden, to the city of Gloucester, in said county of Camden.	1927-03-28				t					\N
1502	727	82	123	58		To incorporate the city of Rahway.	1858-02-26	1858-04-19			f					\N
1503	727	148	210	109		To incorporate the borough of Millington, in the county of Morris.	1924-03-11				t					\N
1504	727	72	193	0		To incorporate Cape Island into a borough.	1848-03-08				f					\N
1506	732	149	775	1		"An ordinance to annex certain lands in the Borough of Essex Fells to the Borough of Roseland was adopted April 25, 1924."	1925-01-03				f					\N
1507	732	154	1219	5		At a special election held in the city of Union City, Hudson county, April 22, 1930, an act pertaining to commission government was adopted.	1930-04-30				f					\N
1508	727	90	521	214		A supplement to an act entitled "An act to incorporate the town of Union, in the township of Union, in the county of Hudson, approved the twenty-ninth day of March, eighteen hundred and sixty-four.	1866-03-20				f					\N
1509	727	165	277	125		To provide for the annexation of an unpopulated area in Camden county to the borough of Laurel Springs, in Camden county.	1941-05-16				t					\N
1510	727	112	483	325		Providing for the formation and government of towns.	1888-04-24				f					\N
1511	727	132	578	279		To incorporate the borough of Spotswood, in the county of Middlesex.	1908-04-15				t					\N
1512	727	143	457	209		To incorporate the borough of Freehold, in the county of Monmouth.	1919-04-15				t					\N
1513	727	93	653	266		For the Improvement of the Town of Freehold, in the County of Monmouth.	1869-03-25				f					\N
1515	727	152	140	66		To incorporate the borough of North Cape May in the county of Cape May.	1928-03-19				t					\N
1516	727	208:2	440	58		Concerning the consolidation of municipalities and municipal services and amending P.L.1977, c.435 and P.L.1952, c.72.	1999-04-13				f					\N
1517	727	146	353	207		To incorporate the Borough of Franklin Lakes, in the county of Bergen.	1922-03-11				t					\N
1518	727	121	285	161		A General Act relating to boroughs (Revision 1897).	1897-04-24				f					\N
1519	727	82	307	123		To alter the boundary line between the townships of Washington and Roxbury, in the county of Morris.	1858-03-11				f					\N
1520	732	143	775	1		"The Inhabitants of the City of Trenton" changed to "City of Trenton," December 21, 1918.					f					\N
1521	727	172	430	72		To incorporate the borough of Raritan in the county of Somerset.	1948-05-12				t					\N
1522	727	135	73	49		To extend the territorial boundaries of the borough of Rumson, in the county of Monmouth, by an annexation of a portion of the township of Shrewsbury in said county.	1911-03-21				t					\N
1523	727	102	545	45		To create a new township in the county of Union, to to be called the township of Fanwood.	1878-03-06				t					\N
1524	732	144	1015	4		"The Mayor and Board of Aldermen of the Town of Morristown" changed to "Town of Morristown," [...].	1919-10-08				f					\N
1525	727	135	484	222		To incorporate the Borough of Alpha, in the county of Warren.	1911-04-27				t					\N
1526	727	104	390	18		To divide the townships of Cinnaminson, in the county of Burlington, into two townships.	1880-02-12				t					\N
1527	727	68	194	0		To establish a new township in the county of Cumberland; to be called "Columbia."	1844-03-08	1844-03-12			f					\N
1528	727	151	147	82		To incorporate the borough of Spring Lake Heights, in the county of Monmouth.	1927-03-19				t					\N
1529	732	152	889	1		"The Mayor and Council of the Borough of Harvey Cedars" has changed its name to "The Borough of Harvey Cedars," [...].	1927-10-21				f					\N
1531	727	95	1264	493		To divide the township of Woodside between the city of Newark and the township of Belleville.	1871-04-05				f					\N
1532	727	96	291	99		A Supplement to an act entitled "An act to set off a part of the township of Tewksbury, in the county of Hunterdon, and annex the same to the township of Clinton, in said county," approved March twenty-ninth, eighteen hundred and seventy-one.	1872-02-29				f					\N
1533	727	73	299	0		To annex part of the township of Upper Freehold, in the county of Monmouth, to the township of Plumsted, in said county.	1849-03-02				f					\N
1534	727	70	118	0		To establish a new township in the county of Salem, to be called the township of Upper Pittsgrove.	1846-03-06	1846-03-10			f					\N
1535	727	100	486	46		A supplement to an act entitled "An act to incorporate the borough of Frenchtown, in the county of Hunterdon," approved April fourth, eighteen hundred and sixty-seven.	1876-03-30				t					\N
1536	727	146	304	179		To incorporate the borough of New Milford, in the county of Bergen.	1922-03-11				t					\N
1537	727	149	57	12		To incorporate the borough of Pine Beach in the county of Ocean.	1925-02-26				t					\N
1538	727	172	1351	346		To incorporate "Buena," in the township of Buena Vista, in the county of Atlantic, as a borough, and fixing the boundaries thereof.	1948-09-01				t					\N
1540	983	1694	531	7	6 W. & M.	For Boundaries of Salem County.	1694-05-17J				f					\N
1541	727	65	92	0		To alter a part of the boundary line between the townships of Westfield and New Providence, in the county of Essex.	1841-03-10				f					\N
1543	727	87	306	170		To create from the town of Bergen, in the county of Hudson, a new township to be called the township of Greenville.	1863-03-18	1863-04-14			f					\N
1544	727	145	766	245		To annex to the town of Dover, in the county of Morris, a part of the township of Rockaway in said county of Morris.	1921-04-08				t					\N
1545	727	147	217	113		Relating to, regulating and providing for the government of municipalities, except counties, by a municipal council and a municipal manager.	1923-03-19				f					\N
1546	727	84	268	118		To divide the township of Chester, in the county of Burlington, into two townships.	1860-03-15				f					\N
1547	727	96	301	105		To incorporate the town of Absecom, out of parts of Galloway and Egg Harbor townships, in the county of Atlantic.	1872-02-29				f					\N
1548	727	101	38	20		In relation to cities incorporate within the limits of townships but not set off therefrom.	1877-03-01				f					\N
1549	727	51	42	0		To erect the village of New-Mills, in the county of Burlington, into a borough, to be called the borough of Pemberton.	1826-12-15				f					\N
1550	727	131	173	93		To incorporate the borough of Verona, in the County of Essex.	1907-04-18				t					\N
1551	727	127	31	14		To incorporate the town of Westfield, in the county of Union.	1903-03-04				t					\N
1552	727	125	301	144		To set off territory from the borough of Hasbrouck Heights, in the county of Bergen, and annex the same to the borough of Lodi, in the said county.	1901-03-22				t					\N
1553	727	83	21	12		To divide the township of Willingborough, in the county of Burlington, into two townships.	1859-03-01				f					\N
1554	727	71	47	0		To divide the township of Manchester, in the county of Passaic, and to establish a new township, to be called the township of Wayne.	1847-02-10				f					\N
1555	728	200:1	920	4		[Certain elections originally scheduled for April 6, 1982, suspended until August 20, 1982]	1982-04-07				f					\N
1556	727	69	193	0		A supplement to an act entitled, "An act to establish a new township in the county of Gloucester, to be called the township of Spicer," passed January twenty-sixth, eighteen hundred and forty-four.	1845-04-01				f					\N
1557	727	83	440	150		To annex part of the township of Alexandria, in the county of Hunterdon, to the township of Bethlehem, in said county.	1859-03-16				f					\N
1558	727	135	172	122		To incorporate the borough of Point Pleasant Heights, in the county of Ocean.	1911-04-06				t					\N
1559	727	161	246	106		To incorporate the borough of Jersey Homesteads, in the county of Monmouth.	1937-05-29				t					\N
1560	727	121	281	158		To incorporate "Brigantine Beach," in the county of Atlantic, as a city, and fix the boundaries thereof.	1897-04-23				t					\N
1561	727	130	434	229		To incorporate the borough of Mendham, in the county of Morris.	1906-05-15				t					\N
1562	727	55	41	0		To alter the Boundary Line between the townships of Randolph and Pequannack in the county of Morris.	1831-01-25				f					\N
1563	727	106	367	129		To change the lines of the township of Eastampton, in the county of Burlington.	1882-03-23				t					\N
1564	727	93	599	244		To set off a part of the Township of Andover to the Town of Newton, in the County of Sussex.	1869-03-24				f					\N
1565	727	138	156	100		To incorporate the borough of Stone Harbor, in the county of Cape May.	1914-04-03				t					\N
1566	727	149	88	29		To incorporate the borough of Ship Bottom-Beach Arlington, in the county of Ocean.	1925-03-03				t					\N
1567	727	145	461	172		To incorporate the "Borough of Bernardsville," in the county of Somerset.	1921-04-07				t					\N
1568	727	79	217	95		To establish the City of Elizabeth.	1855-03-13				f					\N
1569	727	199:2	1937	462		Concerning the effects of the 1980 federal census on statutes pertaining to local governmental units of this State, and revising and repealing parts of the statutory law.	1982-01-09				f					\N
1570	727	151	326	170		To incorporate the borough of South Toms River in the county of Ocean.	1927-03-28				t					\N
1571	727	97	221	73		For the Improvement of East Millstone.	1873-02-18				f					\N
1572	727	95	1456	548		To alter the boundary line between the townships of Oxford and Harmony, in the county of Warren.	1871-04-06				f					\N
1575	727	163	657	244		To annex to the borough of Matawan, in the county of Monmouth, a part of the township of Madison, in the county of Middlesex, and to change the boundaries between said counties to give effect thereto.	1939-07-18				t					\N
1576	727	137	626	308		To incorporate the borough of Middlesex, in the county of Middlesex.	1913-04-09				t					\N
1577	727	163	532	180		To annex to the borough of Sea Girt, in the county of Monmouth, certain portions of Wall township, in said county.	1939-07-11				t					\N
1578	727	158	514	218		To annex to the township of Landis, in the county of Cumberland, a part of the city of Millville, in the county of Cumberland.	1934-06-11				t					\N
1579	732	152	893	1		At a special election held in the township of Piscataway, April 6, 1926, "An Act to incorporate the borough of South Plainfield in the county of Middlesex," was adopted.	1927-10-06				f					\N
1580	732	145	1019	3		"The Mayor and Council of the Borough of Carlstadt" changed to "Borough of Carlstadt," April 16, 1921.					f					\N
1581	727	108	90	59		To amend an act entitled "An act concerning certain townships in this state," approved March twenty-third, one thousand eight hundred and eighty-three.	1884-03-25				f					\N
1582	727	124	14	3		To incorporate the town of Bloomfield, in the county of Essex.	1900-02-26				t					\N
1583	727	109	410	19		To set off a new township in the county of Cumberland, to be called the township of Lawrence.	1885-02-17				t					\N
1584	983	1693	514	1	5 W. & M.	For nullifying the last Act for the Division between Burlington and Gloucester Counties.	1693-10-18J				f					\N
1585	727	30	523	185		To erect and set off a new township form the townships of Hanover and Morris, in the county of Morris.	1806-02-12	1806-03-10			f					\N
1586	727	91	917	417		To annex the township of Pittsgrove, in the county of Salem, to the county of Cumberland.	1867-04-10				f					\N
1587	727	98	205	88		To set off a part of the townships of Shrewsbury and Ocean, in the county of Monmouth, to the township of Eatontown.	1874-02-26				f					\N
1588	727	78	184	80		A supplement to an act entitled "An act to set off from the township of Franklin, in the county of Bergen, a new township to be called the township of Hohokus," approved February fifth, one thousand eight hundred and forty-nine.	1854-03-02				f					\N
1590	727	140	391	188		To annex to the borough of South River, in the county of Middlesex, part of the township of East Brunswick, in the county of Middlesex.	1916-03-18				t					\N
1591	732	160	1005	1		By action of the township committee of Stow Creek, Cumberland County, the spelling of the name of "STOE" reek was made to read "STOW", October 1, 1934.	1935-09-28				f					\N
1592	727	84	162	67		To set off a new township from the townships of North Brunswick and Monroe, in the county of Middlesex, to be called the township of East Brunswick; and also a new township from the township of North Brunswick, to be called the township of New Brunswick.	1860-02-28				f					\N
1593	727	93	1025	384		A Supplement to an act to divide the Township of Willingborough, in the County of Burlington, into two Townships, approved March first, eighteen hundred and fifty-nine.	1869-03-31				f					\N
1594	732	172	2093	4		At a special election held in the Borough of Fair Lawn in the County of Bergen on February 25, 1948, for the adoption or rejection of the provisions of subtitle 5 of the Title Municipalities and Counties of the Revised Statutes which provides for the Municipal Manager Form of Government was adopted.	1948-02-26				f					\N
1595	727	153	367	196		To annex a portion of the township of Lopatcong, in the county of Warren, to the township of Phillipsburg, in the county of Warren.	1929-04-24				t					\N
1596	727	153	476	260		To annex to the city of Egg Harbor City, part of the township of Galloway, in the county of Atlantic.	1929-05-04				t					\N
1597	727	127	75	51		To incorporate "Ventnor City," in the county of Atlantic, as a city, and fixing the boundaries thereof.	1903-03-17				t					\N
1598	727	131	426	181		To extend the territorial boundaries of the borough of Sea Side Park, in the county of Ocean, by the annexation of a portion of the territory of the State of New Jersey.	1907-05-13				t					\N
1599	727	198:2	791	181		Concerning counties and municipalities, revising parts of the statutory law, enacting and adding chapters 6, 7 and 13 to Title 40A of the New Jersey Statutes.	1979-08-29				f					\N
1601	727	65	107	0		To set off, from the township of Lebanon, in the county of Hunterdon, a new township, to be called the township of Clinton.	1841-03-11	1841-04-12			f					\N
1602	727	93	954	357		A Supplement to an act entitled "An Act to incorporate the Hackensack Improvement Commission," approved April first, eighteen hundred and sixty-eight.	1869-03-31				f					\N
1603	727	142	979	257		To incorporate the borough of Califon, in the county of Hunterdon.	1918-03-04				t					\N
1604	727	98	216	113		To incorporate the borough of Merchantville.	1874-03-03				t					\N
1605	727	126	774	261		To annex the territory within the boundaries of the mayor and council of the borough of North Plainfield, in the county of Somerset, to the county of Union.	1902-04-16				t					\N
1606	727	145	258	133		To incorporate the township of Lincoln, in the county of Morris.	1921-03-31				t					\N
1607	727	189	248	84		To relocate, fix and establish a portion of the boundary line between the township of Millburn in the county of Essex and the township of Livingston in the county of Essex.	1965-06-02				t					\N
1608	727	163	830	343		Relating to the formation and government of consolidated municipalities; amending sections 19:38-1, 19:38-2, 19:38-3, 19:38-5 and 19:38-6 of the Revised Statutes; and repealing an act entitled "An act to enable adjoining municipalities, other than cities, lying in the same county, to consolidate and form a city, approved March twentieth, one thousand nine hundred twenty-three, constituting chapter one hundred seventeen of the public laws, one thousand nine hundred twenty-three as amended and supplemented; and repealing sections 40:430-40 to 40:43-64, inclusive, section 40:43-66, section 19:38-4, and section 18:5-13 of the Revised Statutes, and an act entitled "A supplement to an act entitled 'An act to establish a thorough and efficient system of free public schools and to provide for the maintenance, support and management thereof,' approved October nineteenth, one thousand nine hundred and three," approved March eleventh, one thousand nine hundred twenty-two, as amended.	1939-10-03				f					\N
1609	727	171	1100	343		To relocate, fix and establish the boundary line between the borough of Haddonfield and the borough of Haddon Heights, in the county of Camden and State of New Jersey, and to fix and determine the respective rights and liabilities of the said municipalities by reason of such relocation of said boundary line.	1947-06-24				t					\N
1610	732	152	893	7		At a special election held in the township of Hanover, county of Morris, "An Act to incorporate the township of Parsippany-Troy Hills, in the county of Morris," was adopted	1928-06-13				f					\N
1611	727	118	598	274		To set off a portion of Upper Pittsgrove township, in the county of Salem, into Pittsgrove township, in the county of Salem, and to change the boundaries between said townships accordingly.	1894-05-17				t					\N
1612	727	163	115	72		To extend the territorial boundaries of the borough of Keansburg, in the county of Monmouth, by the annexation of lands from the township of Raritan.	1939-05-24				t					\N
1613	727	162	608	282		To amend an act entitled "An act to create a new township in the county of Bergen, to be called the township of Overpeck," approved March twenty-third, one thousand eight hundred and ninety-seven.	1938-05-31				f					\N
1614	732	150	869	5		An ordinance of the village of Ridgefield Park annexing a portion of the township of Teaneck to the township of Overpeck (co-extensive with the village of Ridgefield Park) was adopted by the board of commissioners of the village of Ridgefield Park, June 1, 1926.					f					\N
1615	732	153	929	2		At a special election held in the township of Lopatcong, county of Warren, on June 1, 1929, an act entitled "An act to annex a portion of the township of Lopatcong, in the county of Warren, to the town of Phillipsburg, in the county of Warren," was adopted.	1929-06-05				f					\N
1616	727	116	490	21		To set off a part of the township of Hanover, in the county of Morris, and annex such portion so set off to the township of Boonton, in said county of Morris.	1892-02-24				t					\N
1617	732	154	1219	7		At a special election held in the borough of North Arlington, Bergen county, May 20, 1930, an act pertaining to commission government was adopted.	1930-05-22				f					\N
1618	727	182	632	132		To annex to the township of Millburn, in the county of Essex, a part of the township of Springfield, in the county of Union, and to change the boundaries between said counties to give effect thereto.	1958-07-29				t					\N
1619	727	67	33	0		To divide the township of Bergen, in the county of Bergen.	1843-02-10	1843-04-10			f					\N
1622	727	84	5	3		To incorporate the town of Orange.	1860-01-31				f					\N
1623	727	149	477	200		To extend the territorial boundaries of the city of Gloucester, in the county of Camden, by the annexation of a portion of the township of Centre in said county.	1925-03-18				t					\N
1624	732	139	951	1		"Mayor and Council of the Borough of Westwood" changed to "Borough of Westwood," June 4, 1914.					f					\N
1625	727	189	633	116		To relocate, fix and establish a portion of the boundary line between the township of Deptford and the borough of Woodbury Heights, in the county of Gloucester.	1965-06-21				t					\N
1626	727	98	205	87		A supplement to an act entitled 'An act to set off from the Township of New Barbadoes, in the County of Bergen, a new Township to be called the Township of Midland," approved March seventh, one thousand eight hundred and seventy-one.	1874-02-26	1874-04-06			f					\N
1627	732	172	2093	1		At a special election held in the Township of Wall, in the County of Monmouth for the adoption or rejection of the provisions of Chapters 70 to 76 of the Title Municipalities and Counties of the Revised Statutes which provides for the commission form of government was rejected.	1947-09-02				f					\N
1628	727	138	442	218		To ratify, confirm and continue the incorporation of the borough of North Plainfield, in the county of Somerset, and to fix the boundaries and corporate name thereof.	1914-04-15				t					\N
1629	727	109	128	109		A Further Supplement to an act entitled "An act for the formation of borough governments," approved April fifth, one thousand eight hundred and seventy-eight.	1885-03-24				f					\N
1630	727	126	622	190		To annex a portion of the township of Orvil, in the county of Bergen, to the village of Ridgewood.	1902-04-08				t					\N
1631	727	118	138	88		A Further Supplement to an act entitled "An act for the formation of borough governments," approved April fifth, one thousand eight hundred and seventy-eight.	1894-04-25				f					\N
1633	727	97	653	579		To revise the Laws governing the Township of West Hoboken, in Hudson County.	1873-04-04				f					\N
1634	727	127	87	56		To consolidate with and annex to the town of Phillipsburg, in the county of Warren, a certain part of the township of Lopatcong, in said county.	1903-03-23				t					\N
1635	727	125	27	7		For the incorporation of the borough of Tuckerton, in the county of Ocean.	1901-02-18				t					\N
1636	727	70	10	0		To set off from the townships of Stafford and Dover in the county of Monmouth, a new township, to be called the township of Union.	1846-02-07	1846-03-10			f					\N
1637	727	94	288	110		For the improvement of the town of Washington, in the county of Middlesex.	1870-02-23				f					\N
1638	727	95	210	39		To revise and amend the charter of the city of Camden.	1871-02-14	1871-03-01			f					\N
1639	727	117	267	150		To amend an act entitled "An act for the formation and government of boroughs," approved April second, one thousand eight hundred and ninety-one.	1893-03-14				f					\N
1640	727	87	102	80		To create from part of the town of Orange, in the county of Essex, a new township, to be called the township of East Orange.	1863-03-04				f					\N
1641	732	155	1397	2		At a special election held in the Township of Teaneck, Bergen County, on September 16, 1930, "The Municipal Manager Form of Government Act," was adopted.	1930-09-22				f					\N
1642	727	121	108	40		To incorporate "Asbury Park," in the county of Monmouth, as a city, and fix the boundaries thereof.	1897-03-25				t					\N
1643	727	122	45	25		To incorporate the borough of Sea Side Park, in the county of Ocean, and to fix the boundaries thereof.	1898-03-03				t					\N
1644	727	87	85	66		To set off a part of the township of Milburn to the township of South Orange, in the county of Essex.	1863-02-25				f					\N
1645	727	158	515	219		To annex to the township of Deerfield, in the county of Cumberland, a part of the city of Millville, in the county of Cumberland.	1934-06-11				t					\N
1646	727	163	93	60		To incorporate the borough of Medford Lakes in the county of Burlington.	1939-05-17				t					\N
1647	727	116	483	4		To amend an act entitled "An act to change the boundary line between the counties of Essex and Union," approved February twenty-second, one thousand eight hundred and seventy-six.	1892-02-03				t					\N
1648	727	144	344	172		To annex a portion of the township of North Brunswick, in the county of Middlesex, to the borough of Milltown, in said county of Middlesex.	1920-04-15				t					\N
1649	727	146	214	120		To amend an act entitled "An act relating to, regulating and providing for the government of cities, towns, townships, boroughs, villages and municipalities governed by boards of commissioners or improvement commissions in this State," approved April twenty-fifth, one thousand nine hundred and eleven, the title whereof was amended to read as above by act approved April second, one thousand nine hundred and twelve.	1922-03-11				f					\N
1650	732	144	1019	2		Chapter 209, Laws of 1919, approved April 15, 1919, entitled "An act to incorporate the borough of Freehold, in the county of Monmouth," was adopted by the Township of Freehold, July 8, 1919.					f					\N
1651	727	79	439	160		To incorporate the town of Bergen, in the county of Hudson.	1855-03-24				f					\N
1652	732	158	927	4		At a special election held on May 1, 1934, in the city of Clifton, Passaic county, the municipal manager form of government was adopted.	1934-05-08				f					\N
1653	732	156	747	2		"The Township of Northampton in the County of Burlington" has changed its name to "The Township of Mount Holly, in the County of Burlington."	1931-11-06				f					\N
1654	727	153	328	175		To incorporate the borough of Hi-Nella, in the county of Camden.	1929-04-23				t					\N
1656	727	159	300	112		Validating the change of the channel of Cooper river, in Camden county, New Jersey, and the sale and exchange of property, public and private, in connection therewith, and in connection with the laying out and opening of a new State highway in Camden, New Jersey, known as Bridge boulevard (located between Twelfth street on the north and the city line on the south), pursuant to agreements, oral or otherwise, heretofore made by and between the Board of Commerce and Navigation, the State Highway Commission, the city of Camden, New Jersey, and the owners of abutting properties, and also validating all deeds and conveyances heretofore or hereafter made in the premises pursuant to said agreements and making such deeds and the record thereof admissible in evidence.	1935-03-25				f					\N
1657	727	89	692	368		A Supplement to "An act to establish a new township in the county of Burlington, to be called the township of Bass River."	1865-03-30				f					\N
1658	727	153	80	45		Annexing to Lakewood Township, in the county of Ocean, a portion of the territory annexed to the county of Ocean by virtue of the provisions of an act entitled "An act altering and resettling a part of the boundary line between the counties of Monmouth and Ocean, and annexing certain lands to the county of Ocean," approved April third, one thousand nine hundred and twenty-eight, and providing for the government of the same.	1929-04-03				t					\N
1660	727	213:2	1785	198		Concerning certain provisions in the charter for the city of Beverly in the county of Burlington, amending P.L.1857, c.162, and validating the publication of the Notice of  Intention	2010-01-14				f					\N
1661	727	91	253	134		To set off from the township of Harrison, in the county of Hudson, a new township, to be called the township of Kearney.	1867-03-14	1867-04-08			f					\N
1662	727	121	173	83		To annex portions of the township of Palisades, in the county of Bergen, to the borough of Tenafly.	1897-04-08	1898-02-10			t					\N
1663	727	129	217	113		Annexing a portion of the borough of Sea Isle City, in Cape May county, New Jersey, to Upper township, in said county.	1905-04-05				t					\N
1664	727	187	997	194		To clarify, settle and fix the division line between the city of Brigantine and the city of Atlantic City, both in the County of Atlantic.	1964-03-05				t					\N
1665	727	92	785	340		To repeal the act entitled "An Act to divide the township of Ocean, in the county of Monmouth."	1868-04-03				f					\N
1666	727	22	266	686		For the Division of the Township of Roxbury, in the County of Morris.	1798-02-12	1798-04-02			f					\N
1667	727	129	39	18		To incorporate the borough of Orvil, in the county of Bergen.	1905-03-08				t					\N
1668	727	62	132	0		To establish two new townships in the county of Hunterdon, to be called the townships of Delaware and Raritan.	1838-02-23	1838-04-05			f					\N
1669	732	145	1019	2		"The Mayor and City Council of the City of Garfield" changed to "City of Garfield," November 29, 1920.					f					\N
1670	727	85	507	170		A further supplement to the charter of the city of New Brunswick, approved February twentieth, eighteen hundred and forty-nine.	1861-03-15	1861-05-13			f					\N
1671	727	75	188	0		To establish a new township in the county of Warren, to be called the township of Phillipsburg.	1851-03-07				f					\N
1672	727	30	491	170		To repeal an act, entitled "An act to confirm and establish the charter rights and privileges of the Borough of Elizabeth," so far as the same extends to that part of the said Borough lying within the limits of the township of Rahway. 	1805-11-06				f					\N
1673	727	113	105	71		A Supplement to an act entitled "An act providing for the formation and government of towns," approved April twenty-fourth, one thousand eight hundred and eighty-eight.	1889-03-27				f					\N
1674	727	160	273	112		A Supplement to an act entitled "An act to erect a part of the county of Monmouth into a new county, to be called the county of Ocean," approved February fifteenth, one thousand eight hundred and fifty.	1936-05-26				t					\N
1675	727	80	221	105		To alter the township line between the township of North Brunswick and the township of South Brunswick, in the county of Middlesex.	1856-03-13				f					\N
1676	727	155	666	263		To annex to the borough of Midland Park part of the township of Wyckoff in the county of Bergen.	1931-04-27				t					\N
1677	727	44:Public	86	0		To incorporate the city of Jersey, in the county of Bergen.	1820-01-28				f					\N
1678	727	157	764	286		To incorporate the borough of Island Beach in the county of Ocean.	1933-06-23				t					\N
1679	727	126	403	131		To annex a portion of the town of Hammonton, in the county of Atlantic, and a portion of the township of Waterford, in the county of Camden, to the county of Burlington, and to annex the territory so acquired by the county of Burlington to the townships of Shamong and Washington, in said county of Burlington.	1902-04-03				t					\N
1680	727	126	770	260		To provide for and facilitate the annexation of part of one county to another county.	1902-04-16				f					\N
1681	727	129	45	24		To incorporate the borough of Oaklyn, in the county of Camden.	1905-03-13				t					\N
1682	727	114	526	39		To enlarge the territorial limits of the borough of Rutherford, in the township of Union, in the county of Bergen and state of New Jersey, by annexing thereto parts of said township of Union, and to particularly describe and define the boundaries of said borough as enlarged, and to set off the same from the remaining part of said township, and constituting such borough a separate municipality.	1890-03-10				t					\N
1683	727	118	275	176		A Further Supplement to an act entitled "An act for the formation of borough governments," approved April fifth, one thousand eight hundred and seventy-eight.	1894-05-09				f					\N
1684	727	137	128	84		To incorporate the borough of Franklin, in the county of Sussex.	1913-03-18				t					\N
1685	727	135	221	152		To incorporate the borough of Milford, in the county of Hunterdon.	1911-04-15				t					\N
1686	727	121	344	176		To incorporate the borough of Wildwood, in the county of Cape May, and to fix the boundaries thereof.	1897-05-04				t					\N
1687	727	138	165	107		To incorporate the borough of Westville, in the county of Gloucester.	1914-04-07				t					\N
1688	727	194:2	1400	250		To fix and determine a portion of the municipal boundary line dividing the township of Warren in the county of Somerset from the township of Bridgewater in the county of Somerset	1971-06-30				t					\N
1689	727	123	23	13		To incorporate the township of Summit, in the county of Union, as a city, and fix the boundaries thereof.	1899-03-08				t					\N
1690	727	150	224	145		To annex to the borough of Lawnside, in the county of Camden, a part of the borough of Barrington, in the county of Camden.	1926-03-24				t					\N
1691	727	49	126	0		Regulating the boundaries, and incorporating the inhabitants of certain townships in the counties of Sussex and Warren, and incorporating the board of chosen freeholders in the said county of Warren, and for other purposes.	1824-12-27				f					\N
1692	727	127	23	11		To incorporate the borough of Woodbine, in the county of Cape May, and to fix the boundaries thereof.	1903-03-03				t					\N
1693	727	88	561	330		To incorporate the town of Union, in the township of Union, in the county of Hudson.	1864-03-29				f					\N
1694	727	138	282	153		To annex to the borough of Highlands a part of the township of Middletown, in the county of Monmouth.	1914-04-13				t					\N
1695	727	144	549	302		To incorporate the borough of West Wildwood, in the county of Cape May.	1920-04-21				t					\N
1696	727	87	479	261		For the improvement of Somerville.	1863-03-25				f					\N
1697	727	127	245	161		To incorporate the borough of Closter, in the county of Bergen.	1903-04-08	1904-01-01			t					\N
1698	727	124	468	182		To annex to the city of Trenton a part of the township of Hamilton.	1900-03-23	1900-05-01			t					\N
1699	727	137	411	227		To incorporate the borough of Laurel Springs in the county of Camden.	1913-04-02				t					\N
1700	727	128	27	10		To incorporate the borough of Paulsboro, in the county of Gloucester.	1904-03-02				t					\N
1701	727	64	18	0		To set off from the township of Harrington, in the county of Bergen, a new township to be called the township of Washington.	1840-01-30	1840-04-13			f					\N
1702	727	126	624	191		To annex to the township of Lodi, in the county of Bergen, a portion of the township of Bergen, in said county.	1902-04-08				f					\N
1703	727	209:2	0	342		Revising certain mandates, requirements and procedures for local governments and amending, supplementing and repealing various parts of the statutory law.	2002-01-05				f					\N
1704	727	97	598	501		A Further Supplement to the act entitled "An Act to incorporate the Hackensack Improvement Commission," approved April first, one thousand eight hundred and sixty-eight.	1873-04-03				f					\N
1705	727	136	362	224		To incorporate the borough of Fair Haven, in the county of Monmouth.	1912-03-28				t					\N
1706	727	135	625	298		To annex to the village of South Orange, in the county of Essex, a portion of the city of Newark, in the county of Essex.	1911-05-01				t					\N
1707	727	96	378	155		To set off a new township in the county of Middlesex, to be called the township of Cranbury.	1872-03-07				f					\N
