governmentsourceid	government	governmentsourcetype	governmentsourcebody	governmentsourcenumber	governmentsourceterm	governmentsourcetitle	governmentsourcepagefrom	governmentsourcepageto	governmentsourcedate	governmentsourcepreliminarydate	governmentsourceapproveddate	governmentsourceeffectivedate	governmentsourceapproved	governmentsourceeffectivenotes	governmentsourceadvertiseddate	source	governmentsourcevolume	sourcecitationvolumetype	governmentsourcevolumetype	sourcecitationvolume	sourcecitationpagefrom	sourcecitationpageto	governmentsourcename
4644	5232	Ordinance		394		Approving the petition for annexing to the Borough of Sayre, a section of Athens Township, Bradford County, Pennsylvania, adjacent to and east of said Borough of Sayre and hereinafter fully described, and providing that said territory shall be annexed to and become upon a part of the said Borough if the annexation thereof shall be approved by the Court of Quarter Sessions of said County	101	102	1961-03-01		1961-03-01		t			\N							
4645	5233	Ordinance		74		Annexing to the Borough of Scalp Level, a portion of Richland Township, a township of the second class, adjacent to and north of said Borough and hereinafter described			1950-08-31		1950-08-31		t			\N							
4646	5234	Ordinance				Approving the petition for annexing to the Borough of Schellsburg two sections of Napier Township, Bedford County, Pennsylvania adjacent to the North and East of said Borough of Schellsburg and hereinafter fully described, and providing that the said sections shall be annexed to and become part of the said Borough upon the filing of a certified copy of this Ordinance, together with a plot showing the courses and distances of the boundaries of the said Borough before and after this annexation, in the Court of Quarter Sessions of Bedford County, Pennsylvania, and the filing of notice with the County Board of Elections of Bedford County, Pennsylvania			1967-06-05		1967-06-05		t			\N							1
4647	5234	Ordinance				Providing for the annexation to and to be made part of the Borough of Schellsburg			1960-11-07				t			\N							2
4648	5237	Ordinance				Declaring certain lots, out lots and tracts of land a part and portion of the Borough of Schuylkill Haven			1901-03-04				t			\N							1
4649	5237	Ordinance				Providing for the annexation to the Borough of Schuylkill Haven, of a small portion of the Township of North Manheim, Schuylkill County, Pennsylvania, adjacent and contiguous to the Borough of Schuylkill Haven; and providing that the said territory shall be annexed to and become a part of the Borough of Schuylkill Haven			1967-09-11		1967-09-11		t			\N							2
4650	5237	Ordinance		228		Annexing to the Borough of Schuylkill Haven a section of North Manheim Township, Pennsylvania, adjacent to and east of said borough, known as the Schuylkill Haven High School Playground Tract	519	520	1935-06-03		1935-06-03		t			\N							
4651	5237	Ordinance		476		Providing for the annexation of a certain portion of North Manheim Township, adjacent and contiguous to the Borough of Schuylkill Haven			1962-04-09		1962-04-09		t			\N							
4652	5237	Ordinance		549		[Purchasing premises from Grace Evangelical Congregational Church of Schuylkill Haven, Pennsylvania]			1965-11-08		1965-11-08		t			\N							
4653	5237	Ordinance		588					1967-12-11		1967-12-11		t			\N							
4654	5238	Ordinance		101		Approving the petition for annexing to the Borough of Schwenksville a section of Lower Frederick Township, Montgomery County, Pennsylvania, adjacent to the said Borough of Schwenskville and hereinafter more fully described as bounded by streets, and providing that the said territory shall be annexed to and become a part of the said Borough if the annexation thereof shall be approved by the Court of Quarter Sessions of said county			1970-04-20		1970-04-20		t			\N							
4655	5240	Resolution							1947-09-16				t			\N							
4656	5244	Ordinance		159		Admitting and annexing lots or out lots in the Township of East Huntingdon, Westmoreland County, Penna., being adjacent to the Borough of Scottdale, and known as the North Side Land Co's. plan of lots, and extending the limits of said Borough so as to include the same, and fixing the boundry line between the first and second wards	81	82	1910-08-01		1910-08-01		t			\N							
4657	5244	Ordinance		228		Admitting and annexing lots or outlots in the Township of East Huntingdon, County of Westmoreland and State of Pennsylvania, being adjacent to the Borough of Scottdale and known as the White School District, and extending the limits of the said Borough of Scottdale so as to include the same, and extending the borough lines of the second and Third Wards of said borough	219	220	1921-12-29		1921-12-29		t			\N							
4658	5244	Ordinance		229		Admitting and annexing lots or outlots in the Township of East Huntingdon, County of Westmoreland and State of Pennsylvania, being adjacent to the Borough of Scottdale and known as the Browntown District, and extending the limits of the said Borough of Scottdale so as to include the same, and extending the boundary line of the Fourth Ward of said Borough	221	222	1921-12-29		1921-12-29		t			\N							
4659	5244	Ordinance		257		Admitting and annexing lots or outlots in the Township of East Huntingdon, County of Westmoreland and State of Pennsylvania, being adjacent to the Borough of Scottdale and known as the Swedetown District; and extending the limits of said Borough of Scottdale so as to include the same and extending the boundary lines of the First Ward of said Borough	263	265	1925-04-06		1925-04-07		t			\N							
4660	5244	Ordinance		258		Admitting and annexing lots or outlots in the Township of Upper Tyrone, County of Fayette, and State of Pennsylvania, being adjacent to the Borough of Scottdale and known as the Pipe Mill property; and extending the limits of said Borough of Scottdale so as to include the same and extending the boundary lines of the First Ward of said Borough	266	267	1925-04-06		1925-04-07		t			\N							
4661	5244	Ordinance		425		[Annexing 13.281 acres from East Huntingdon Township]			1957-12-30				t			\N							
4662	5244	Ordinance		429		Approving the petition for annexing to the Borough of Scottdale a certain section of East Huntingdon Township, Westmoreland County, Pennsylvania, adjacent to said borough, and herein fully described, and providing that the said territory shall be annexed to and become part of the said borough if the annexation thereof shall be approved and affirmed by the Court of Quarter Sessions of said county			1958-05-05		1958-05-05		t			\N							
4663	5244	Ordinance		499		Approving a petition for annexing to the Borough of Scottdale, a certain section of East Huntingdon Township, Westmoreland County, Pennsylvania, adjacent to said Borough, and herein fully described, and providing that the said territory shall be annexed to and become part of the said Borough if the annexation thereof shall be approved and affirmed by the Court of Quarter Sessions of said county			1967-~01-~01		1967-~01-~01		t			\N							
4664	5244	Ordinance		502		Approving a petition for annexing to the Borough of Scottdale, a certain section of East Huntingdon Township, Westmoreland County, Pennsylvania, adjacent to said Borough, and herein fully described, and providing that the said territory shall be annexed to and become part of the said Borough if the annexation thereof shall be approved and affirmed by the Court of Quarter Sessions of said county			1968-06-10		1968-06-15		t			\N							
4665	5244	Ordinance		506		Approving a petition for annexing to the Borough of Scottdale, a certain section of East Huntingdon Township, Westmoreland County, Pennsylvania, adjacent to said Borough, and herein fully described, and providing that the said territory shall be annexed to and become part of the said Borough if the annexation thereof shall be approved and affirmed by the Court of Common Pleas of Westmoreland County, Pennsylvania, Civil Action - Law			1969-04-17		1969-04-17		t			\N							
4666	5245	Final Report	Charter Commission						1974-03-18			1976-01-05	t			\N							
4667	5245	Ordinance	Select	11	1904						1904-06-10		t			\N							
4668	5245	Ordinance		51	1971	For the election by the Council for the City of Scranton to be a city of the second class A which election is to be retroactive to May 25, 1971			1971-10-06		1971-10-07	1971-05-25	t			\N							
4669	5245	Ordinance		28	1911	Re-establishing a portion of the dividing line between the City of Scranton and the Borough of Dunmore					1911-09-12		t			\N							
4670	5245	Ordinance		32	1927	Re-establishing a portion of the dividing line between the City of Scranton and the Borough of Dunmore					1927-07-05		t			\N							
4671	5245	Ordinance		64	1912	Providing for the change of the line dividing the City of Scranton and the Borough of Dunmore where it crosses Marion Street					1912-07-22		t			\N							
4672	5245	Ordinance		8	1923	Refusing consent to and disapproving of the proposed annexation of the Borough of Dunmore to the City of Scranton					1923-02-02		f			\N							
4673	5245	Ordinance	Common	36	1893				1893-12-07	1893-08-31	1893-12-19		t			\N							
4674	5245	Ordinance	Proposed	20	1938	Consenting to and approving of the annexation to the City of Scranton in the County of Lackawanna and State of Pennsylvania of the Borough of Dunmore in said county and state			1938-08-17				f			\N							
4675	5245	Ordinance	Select	84		Adopting the provisions of the act of Assembly entitled, "An Act dividing the cities of this state into three classes, &c., and providing for the incorporation and government of cities of the third class," approved May 23, 1874			1877-03-16	1877-03-15	1877-03-16		t			\N							
4676	5247	Ordinance		125		Adding all lands included between the present southern lines of the Borough of Selinsgrove, Snyder County, Pennsylvania, and the hereinafter mentioned new lines of said borough	305	306			1926-07-12		t			\N							
4677	5247	Ordinance		162		Annexing the Selinsgrove School District plot in Penn Township to the Borough of Selinsgrove			1938-05-02		1938-05-02		t			\N							
4678	5247	Ordinance		164		Annexing land adjacent to the western boundary of Selinsgrove in Penn Township to the Borough of Selinsgrove			1939-02-06		1939-02-06		t			\N							
4679	5247	Ordinance		239		Annexing land of the Selinsgrove School District and of Everett R. Bolig in Penn Township for the Borough of Selinsgrove			1957-04-01		1957-04-12		t			\N							
4680	5247	Ordinance		262		Annexing lands west of the Borough of Selinsgrove in Penn Township, Snyder County, Pennsylvania, to the Borough of Selinsgrove			1959-09-14		1959-09-14		t			\N							
4681	5247	Ordinance		263		Annexing land adjacent to the Borough of Selinsgrove in Penn Township, Snyder County, Pennsylvania to the Borough of Selinsgrove			1959-10-05				t			\N							
4682	5247	Ordinance		265		Annexing lands adjacent to the Borough of Selinsgrove in Penn Township, Snyder County, Pennsylvania, to the Borough of Selinsgrove			1959-11-02				t			\N							
4683	5247	Ordinance		269		Annexing lands west of the Borough of Selinsgrove in Penn Township, Snyder County, Pennsylvania, to the Borough of Selinsgrove			1960-11-07		1960-11-08		t			\N							
4684	5247	Ordinance		291		Annexing lands west of the Borough of Selinsgrove in Penn Township, Snyder County, Pennsylvania, to the Borough of Selinsgrove			1963-08-05		1963-08-05		t			\N							
4685	5247	Ordinance		331		Annexing lands west of the Borough of Selinsgrove, Snyder County, Pennsylvania, to the Borough of Selinsgrove			1965-12-06		1965-12-06		t			\N							
4686	5247	Ordinance		344		Annexing lands west of the Borough of Selinsgrove, Snyder County, Pennsylvania, to the Borough of Selinsgrove			1967-01-03		1967-01-03		t			\N							
4687	5247	Ordinance		367		Annexing land west of the Borough of Selinsgrove, Snyder County, Pennsylvania, to the Borough of Selinsgrove			1970-06-01				t			\N							
4688	5247	Ordinance		74		Annexing territory to the Borough of Selinsgrove, Snyder Countty, Penna.	177	178	1906-12-04		1906-12-04	1907-01-04	t			\N							
4689	5248	Ordinance				Providing for the annexation of certain lands lying adjacent to the Borough of Sellersville			1925-10-05		1925-10-05		t			\N							
4690	5248	Ordinance		119		Annexing a portion of West Rockhill Township, Bucks County, Pennsylvania, to the Borough of Sellersville	49	49	1936-01-13		1936-01-13		t			\N							
4691	5248	Ordinance		217		Approving the petition for annexing to the Borough of Sellersville a section of West Rockhill Township, Bucks County, Pennsylvania, adjacent to and northwest, of said Borough of Sellersville and hereinafter fully described, and providing that the said territory shall be annexed to and become a part of the said Borough if the annexation thereof shall be approved by the court of quarter sessions of Bucks County	97	98	1954-11-02		1954-11-03		t			\N							
4692	5248	Ordinance		218		Approving the petition for annexing to the Borough of Sellersville a section of West Rockhill Township, Bucks County, Pennsylvania, adjacent to and southeast of said Borough of Sellersville and hereinafter fully described, and providing that the said territory shall be annexed to and become a part of the said Borough if the annexation thereof shall be approved by the court of quarter sessions of Bucks County			1954-11-02		1954-11-02		t			\N							
4693	5248	Ordinance		305		Approving the petition for annexing to the Borough of Sellersville a section of West Rockhill Township, Bucks County, Pennsylvania, adjacent to and southwest of said Borough of Sellersville, and providing that said territory shall be annexed to and become a part of said Borough if the annexation thereof shall be approved by the Court of Quarter Sessions of Bucks County			1962-11-12		1962-11-12		t			\N							
4694	5248	Ordinance		320		Approving the petition for annexing to the Borough of Sellersville, a section of West Rockhill Township, Bucks County, Pennsylvania, adjacent to and southwest of said Borough of Sellersville on the southwest side of Diamond Street, and providing that said territory shall be annexed to and become a part of said Borough if the annexation thereof shall be approved by the Court of Quarter Sessions of Bucks County			1964-01-06		1964-01-06		t			\N							
4695	5248	Ordinance		367		Changing the borough boundary line between the Borough of Sellersville and the Borough of Perkasie in the vicinity of Cedar Avenue and Fourth Street, Perkasie and Walnut Street, Sellersville, as result of which a small tract of land containing 1.46 acres more or less will be detached from the Borough of Sellersville and become a part of the Borough of Perkasie			1967-11-13		1967-11-13		t			\N							
4696	5248	Ordinance		67		Annexing to the Borough of Sellersville certain lands belonging to Jacob Cope, William S. Schlichter, the Walz Estate, John Cressman, B. Frank Wambold, Samuel Slotter, Zeno Frantz, Fred Shubert, J. W. Place and Co., Willet and Clymer, Alfred G. Walker, Alice L. Bechtel and Isaac Clymer			1911-07-03		1911-07-31		t			\N							
4697	5251	Ordinance		3		Annexing 49.6 acres as herein described situate in Saltlick Township, Fayette County, to Borough of Seven Springs			1966-03-04		1966-03-04		t			\N							
4698	5251	Ordinance		9		Annexing 140.03 acres as herein described situate in Jefferson and Middlecreek Townships, Somerset County, to Borough of Seven Springs			1968-04-12		1968-04-12		t			\N							
4699	5254	Ordinance		479		Changing a portion of the boundary line between said Borough and the Borough of Edgeworth	13	13	1918-06-11		1918-06-12		t			\N							
4700	5254	Ordinance		484		Annexing adjacent land, in the same County, now situate in Sewickley Heights and Aleppo Townships, to said Borough	20	20	1919-12-09		1919-12-11	1919-12-31	t			\N							
4701	5254	Ordinance		614		Annexing to the Borough of Sewickley a section of land lying in Sewickley Heights Township, Pennsylvania, adjacent to and northeast of said Borough of Sewickley and known as the Water Works Park and herein described	165	166	1935-06-19		1935-06-19		t			\N							
4702	5254	Ordinance		695		Changing that part of the present easterly dividing line between the Borough of Sewickley and the Borough of Sewickley Heights which lies between Backbone Road and Blackburn Road; and including within the Borough of Sewickley approximately 20 1/2 acres of ground presently in the Borough of Sewickley Heights, all in accordance with Section 507-508 of the Borough Code of 1947	44	46	1950-06-06		1950-06-06		t			\N							
4703	5254	Ordinance		697		Amending Ordinance No. 695 entitled "an ordinance changing that part of the present easterly dividing line between the Borough of Sewickley and the Borough of Sewickley Heights which lies between Backbone Road and Blackburn Road; and including within the Borough of Sewickley approximately 20 1/2 acres of ground presently in the Borough of Sewickley Heights, all in accordance with Section 507-508 of the Borough Code of 1947"	48	48	1950-06-19		1950-06-19		t			\N							
4704	5254	Ordinance		816		Changing a portion of the present southwesterly dividing line between the Borough of Sewickley Heights and the Borough of Sewickley which lies between the property of L.W. Young et ux. and Blackburn Road; and including within the Borough of Sewickley approximately 10 acres of ground presently in the Borough of Sewickley Heights, all in accordance with sections 507-508 of the Borough Code of 1947	30	33	1961-09-18		1961-09-18		t			\N							
4705	5256	Ordinance		18		Describing and fixing the boundary line between the Borough of Sewickley Heights and the Borough of Edgeworth, both situate in Allegheny County, State of Pennsylvania			1939-06-19		1939-06-23		t			\N							
4706	5256	Ordinance		34		Changing that part of the present westerly dividing line between the Borough of Sewickley Heights and the Borough of Sewickley which lies between Backbone Road and Blackburn Road; and including within the Borough of Sewickley approximately 20 1/2 acres of ground presently in the Borough of Sewickley Heights, all in accordance with Sections 507-508 of the Borough Code of 1947			1950-06-19		1950-06-19		t			\N							
4707	5256	Ordinance		41		Annexing certain territory now situate in the Sewickley Heights Township to the Borough of Sewickley Heights			1953-04-20		1953-04-20		t			\N							
4708	5256	Ordinance		47		Annexing to the Borough of Sewickley Heights certain land now situate in the Township of Aleppo			1954-11-15		1954-11-15		t			\N							
4709	5256	Ordinance		65		Annexing to the Borough of Sewickley Heights certain land now situate in the Township of Sewickley Heights			1958-01-28		1958-01-28		t			\N							
4710	5256	Ordinance		68		Annexing to the Borough of Sewickley Heights certain land now situate in the Township of Sewickley Heights			1958-08-26		1958-08-26		t			\N							
4711	5256	Ordinance		76		Changing a portion of the present Southwesterly Dividing Line between the Borough of Sewickley Heights and the Borough of Sewickley which lies between the property of L. W. Young et ux. and Blackburn Road; and including within the Borough of Sewickley approximately 10 acres of ground presently in the Borough of Sewickley Heights, all in accordance with Section 507-508 of the Borough Code of 1947			1960-04-18		1960-04-18		t			\N							
4712	5262	Ordinance							1958-01-27				t			\N							
4713	5263	Ordinance		57		Annexing lands lying west of the Borough of Shamokin Dam, in Monroe Township, Snyder County, Pennsylvania, to the Borough of Shamokin Dam					1959-10-05		t			\N							
4714	5263	Ordinance		78		[Annexing 0.9 square miles from Monroe Township to the Borough of Shamokin Dam]			1962-~01-~01				t			\N							
4715	5263	Resolution		158		[Adopting as a State Highway Route 54080]			1963-10-07				t			\N							
4716	5265	Final Report	Charter Commission			[Recommending the adoption of a home rule charter for the "City of Sharon"]			2007-08-29			2008-01-07	t			\N							1
4717	5265	Final Report	Charter Commission			[Recommending the adoption of an optional plan for the City of Sharon]			1959-08-~01			1962-01-01	t			\N							2
4718	5265	Ordinance		1235		Annexing to said City a portion of land situate in Hickory Township contiguous to the City of Sharon			1949-04-12				t			\N							
4719	5265	Ordinance		1324		Annexing to said City a portion of land situated in Hickory Township contiguous to the City of Sharon			1950-08-08				t			\N							
4720	5265	Ordinance		49	1954				1954-10-26				t			\N							
4721	5265	Ordinance		525		Annexing that portion of Hickory Township, bounded on the south by East State Street, on the west by Tenth Street, on the north by the City Line and on the east by the City Line, pursuant to the petition of three-fifths of the voters and consent of the majority in number and interest of the property owners within said part of such township			1930-11-25				t			\N							
4722	5265	Report				"Sharon--A City In Transition:" A Report Recommending Changes Necessary For the Establishment Of A Strong Mayor Form of Government			1961-09-~01				t			\N							
4723	5268	Ordinance		108		Approving the prayer of the petition to be presented to the Court of Quarter Sessions of Allegheny County, Pa., by Keystone Box Company, a Pennsylvania corporation, for the annexation to the Borough of Sharpsburg of a portion of O'Hara Township, Allegheny County, Pennsylvania, contiguous to the said Borough of Sharpsburg, referred to in said petition and herein described			1947-10-13		1947-10-13		t			\N							
4724	5268	Ordinance		17					1894-01-03				t			\N							
4725	5268	Ordinance		89		Approving the prayer of the petition to be presented to the Court of Quarter Sessions of Allegheny County, Pa., by Albert G. Aupke and Edward F. Aupke for the annexation to the Borough of Sharpsburg of a portion of O'Hara Township, Allegheny County, Pennsylvania, contiguous to said Borough of Sharpsburg, referred to in said petition and herein described			1946-01-14		1946-01-14		t			\N							
4726	5269	Ordinance				Providing for the annexation to the Borough of Sharpsville of certain lots or out-lots of land lying adjacent to the Borough of Sharpsville, and for the admission of such lots or out-lots into said Borough			1909-02-02		1909-02-02		t			\N							1
4727	5269	Ordinance				Annexing an adjacent section of Hickory Township, known as Heights Annex and other lands adjoining on the north, Mercer County, Pennsylvania, to the Borough of Sharpsville, Mercer County, Pennsylvania			1919-09-16		1919-09-16		t			\N							2
4728	5269	Ordinance				Annexing an adjacent section of Hickory Township, Mercer County, Pennsylvania, to the Borough of Sharpsville, Mercer County, Pennsylvania			1925-08-14		1925-08-14		t			\N							3
4729	5269	Ordinance				Annexing an adjacent section of Hickory Township, Mercer County, Pennsylvania, to the Borough of Sharpsville, Mercer County, Pennsylvania			1925-10-14		1925-10-15		t			\N							4
4730	5269	Ordinance		187		Annexing an adjacent section of Hickory Township, Mercer County, Pennsylvania, to the Borough of Sharpsville, Mercer County, Pennsylvania	425	426	1920-08-03		1920-08-04		t			\N							
4731	5269	Ordinance		359		Annexing to the Borough of Sharpsville a section of Hickory Township, Pennsylvania, adjacent to and south of said Borough, and herein described			1946-08-19		1946-08-19		t			\N							
4732	5269	Ordinance		434		Annexing to the Borough of Sharpsville, Mercer County, Pennsylvania, a section of land in Hickory Township, Mercer County, Pennsylvania, lying adjacent to and southwest of said Borough, said land being owned by Michael Angelo Malia and Frances Dorothy Malia, and being described therein			1953-07-20		1953-07-20		t			\N							
4733	5278	Ordinance		104		Providing for and declaring the annexation of three portions of land in Cumru Township, Berks County, Pennsylvania, lying adjacent to the Borough of Shillington and the admission of the portions of land to the Borough of Shillington, which said portions of land shall forever hereafter be deemed and taken and allowed to be a part of the Borough of Shillington, and subject to the jurisdiction and government of the borough authorities of the Borough of Shillington, as fully and with like effect as if the same had been originally a part of said borough			1923-04-26		1923-04-28		t			\N							
4734	5278	Ordinance		138		Annexing adjacent land			1927-09-08		1927-09-13		t			\N							
4735	5278	Ordinance		141		Annexing adjacent land			1927-11-10		1927-11-14		t			\N							
4736	5278	Ordinance		257		Annexing to the Borough of Shillington a section of Cumru Township, Berks County, Pennsylvania, adjacent to and immediately east and southeast of said borough, and herein described			1949-03-24		1949-03-24		t			\N							
4737	5278	Ordinance		311		Approving the petition for annexing to the Borough of Shillington, Berks County, Pennsylvania, a portion of Cumru Township, Berks County, Pennsylvania, adjacent to and south of the said Borough of Shillington and hereinafter fully described, and providing that the said territory shall be annexed to and become a part of the said borough, if the annexation thereof shall be approved by the Court of Quarter Sessions of Berks County, Pennsylvania			1955-09-08		1955-09-08		t			\N							
4738	5278	Ordinance		317		Approving the petition for annexing to the Borough of Shillington, Berks County, Pennsylvania, a portion of Cumru Township, Berks County, Pennsylvania, adjacent to and south and east of the aforesaid Borough of Shillington, and hereinafter fully described, and providing that the aforesaid territory shall be annexed to and become a part of the aforesaid Borough, if the annexation thereof shall be approved by the Court of Quarter Sessions of Berks County, Pennsylvania			1955-12-08		1955-12-08		t			\N							
4739	5278	Ordinance		34		Declaring the annexation of outlots of a section of land in Cumru Township, Berks County, Pennsylvania, lying adjacent to the Borough of Shillington, and the admission of the section which the petitioner owns to the Borough of Shillington, which said section shall forever hereafter be deemed and taken and allowed to be a part of the Borough of Shillington, and subject to the jurisdiction and government of the borough authorities of the Borough of Shillington, as fully and with like effect as if the same originally had been part of the Borough of Shillington			1912-10-10		1912-10-31		t			\N							
4740	5278	Ordinance		340		Approving the petition for annexing to the Borough of Shillington, Berks County, Pennsylvania, a portion of Cumru Township, Berks County, Pennsylvania, adjacent to and south east of the aforesaid Borough of Shillington, and hereinafter fully described, and providing that the aforesaid territory shall be annexed to and become a part of the aforesaid borough, if the annexation thereof shall be approved by the Court of Quarter Sessions of Berks County, Pennsylvania			1957-11-21		1957-11-21		t			\N							
4741	5278	Ordinance		372		Providing for the annexation to the Borough of Shillington, Berks County, Pennsylvania, of a portion of Cumru Township, Berks County, Pennsylvania, adjacent to and south and east of the aforesaid Borough of Shillington and known as "Shillington Memorial Park", hereinafter fully described, and providing that the aforesaid shall be annexed to and become part of the aforesaid borough			1959-10-08		1959-10-08		t			\N							
4742	5278	Ordinance		438		Annexing to the Borough of Shillington, Berks County, Pennsylvania, a section of Cumru Township, Berks County, Pennsylvania, adjacent to the said borough and herein described			1964-12-10		1964-12-10		t			\N							
4743	5278	Ordinance		444		Annexing to the Borough of Shillington, Berks County, Pennsylvania, a section of Cumru Township, Berks County, Pennsylvania, adjacent to the said borough and herein described			1965-05-13		1965-05-13		t			\N							
4744	5278	Ordinance		446A		Annexing to the Borough of Shillington, Berks County, Pennsylvania, a section of Cumru Township, Berks County, Pennsylvania, and adjacent to the said borough and herein described			1965-06-10		1965-06-10		t			\N							
4745	5278	Ordinance		485		Providing for the annexation to the Borough of Shillington, Berks County, Pennsylvania, of a portion of Cumru Township, Berks County, Pennsylvania, adjacent to and south and east of the aforesaid Borough of Shillington, an extension of Shillington's municipal park, known as "Shillington Memorial Park", hereinafter fully described, and providing that the aforesaid territory shall be annexed to and become part of the aforesaid borough			1968-07-11		1968-07-11		t			\N							
4746	5278	Ordinance		93		Providing for and declaring the annexation of a portion of land in Cumru Township, Berks County, Pennsylvania, lying adjacent to the Borough of Shillington and the admission of the portion of land to the Borough of Shillington, which said portion of land shall forever hereafter be deemed and taken and allowed to be a part of the Borough of Shillington, and subject to the jurisdiction and government of the borough authorities of the Borough of Shillington, as fully and with like effect as if the same had been originally a part of said borough			1919-06-10		1919-06-10		t			\N							
4747	5282	Minute					278	278B	1918-10-03				t			\N							
4748	5282	Minute					297	297	1919-09-04				t			\N							
4749	5282	Minute					299	299	1919-10-02				t			\N							
4750	5282	Minute					300	300	1919-11-06				t			\N							
4751	5282	Minute					301	301A	1919-12-04				t			\N							
4752	5282	Minute					303	303	1919-12-29				t			\N							
4753	5282	Minute					304	304A	1919-12-30				t			\N							
4754	5282	Minute					307	307A	1920-02-05				t			\N							
4755	5282	Ordinance		127A		Extending the limits of the Borough of Shippensburg, Pa.			1918-10-03		1918-10-04		t			\N							
4756	5282	Ordinance		129A		Extending the limits of the Borough of Shippensburg, Pa.			1919-12-04		1919-12-17		t			\N							
4757	5282	Ordinance		130A		Extending the limits of the Borough of Shippensburg, Pa.			1919-12-30		1919-12-30		t			\N							
4758	5282	Ordinance		135A		Extending the limits of the Borough of Shippensburg, Pa.			1920-08-09		1920-08-18		t			\N							
4759	5282	Ordinance		157		Annexing certain land adjacent to the Borough of Shippensburg, Pennsylvania, situate in the Township of Southampton, Franklin County, Pennsylvania, upon petition of a majority of the freeholders of the territory proposed to be annexed	415	419	1930-08-04		1930-08-11		t			\N							
4760	5282	Ordinance		168		Annexing certain land adjacent to the Borough of Shippensburg, Pennsylvania, situate in the Township of Shippensburg, Cumberland County, Pennsylvania, upon petition of a majority of the freeholders of the territory proposed to be annexed			1933-12-11		1933-12-11		t			\N							
4761	5282	Ordinance		174		Annexing certain land adjacent to the Borough of Shippensburg, Pennsylvania, situated in the Township of Shippensburg, Cumberland County, Pennsylvania, upon petition of a majority of the freeholders of the territory proposed to be annexed; and further annexing certain adjacent territory to the Borough of Shippensburg, Cumberland County, Pennsylvania, situated in the Township of Southampton, Franklin County, Pennsylvania, upon a petition of a majority of the freeholders of the territory proposed to be annexed	463	467	1935-08-12		1935-08-12		t			\N							
4762	5282	Ordinance		218		Annexing certain land adjacent to the Borough of Shippensburg, Pennsylvania, situate in the Township of Southampton, Franklin County, Pennsylvania, upon petition of a majority of the freeholders of the territory proposed to be annexed	535	537	1949-01-11		1949-01-11		t			\N							
4763	5282	Ordinance		222		Annexing certain land adjacent to the Borough of Shippensburg, Pennsylvania, situate in the Township of Southampton, Franklin County, Pennsylvania, upon petition of a majority of the freeholders of the territory proposed to be annexed	543	545	1949-06-14		1949-06-14		t			\N							
4764	5282	Ordinance		251		Annexing certain land adjacent to the Borough of Shippensburg, Pennsylvania, situate in the Township of Southampton, Franklin County, Pennsylvania, upon petition of a majority of the freeholders of the territory to be annexed\n	597	598	1953-03-10		1953-03-10		t			\N							
4765	5282	Ordinance		268		Approving the petition of all of the freeholders to annex to the Borough of Shippensburg, Pennsylvania, a section of Southampton Township, Franklin County, Pennsylvania, adjacent to said Borough of Shippensburg, and hereinafter fully described, and providing that the said territory shall be annexed to and become a part of said Borough, if the annexation thereof shall be approved and affirmed by the Court of Quarter Sessions of Franklin County, Pennsylvania	672	674	1954-07-13		1954-07-13		t			\N							
4766	5282	Ordinance		386		Annexing to the Borough of Shippensburg, Cumberland and Franklin Counties, Pennsylvania, a portion of Southampton Township, Franklin County, Pennsylvania, adjacent to the Borough of Shippensburg, and providing that the said territory shall be annexed to and become a part of the West Ward of the said Borough of Shippensburg, Pennsylvania			1969-08-22		1969-08-22		t			\N							
4767	5282	Ordinance		50							1895-11-21		t			\N							
4768	5282	Resolution							1920-02-05		1920-02-11		t			\N							
4769	5284	Ordinance		85					1962-05-07		1962-05-08		t			\N							
4770	5286	Ordinance		68		Declaring the annexation of a section of Lower Allen Township, Cumberland County, Pennsylvania, to the Borough of Shiremanstown, Cumberland County, Pennsylvania	310	312	1952-05-08		1952-05-08		t			\N							
4771	5286	Resolution		5		[Plot of Borough declared to be true representation of borough]			1876-07-07				t			\N							
4772	5288	Ordinance							1946-07-01				t			\N							
4773	5288	Resolution							1874-~01-~01				t			\N							
4774	5291	Ordinance				Annexing a portion of land of Shrewsbury Township to the Borough of Shrewsbury			1963-11-06				t			\N							1
4775	5291	Ordinance				Annexing certain lands from the Township of Shrewsbury to the Borough of Shrewsbury			1961-04-13			1961-05-17	t			\N							2
4776	5291	Ordinance				Approving the petition of all the freeholders of Shrewsbury Township for the annexation of certain territory of Shrewsbury Township by and to Shrewsbury Borough and directing the President of the Borough Council of Shrewsbury Borough to proceed according to law to effect said annexation			1972-04-05		1972-04-05		t			\N							3
4777	5291	Ordinance				Approving the petition of certain freeholders of Shrewsbury Township for the annexation of certain territory of Shrewsbury Township by and to Shrewsbury Borough and directing the President of the Borough Council of Shrewsbury Borough to proceed according to law to effect said annexation			1968-02-07				t			\N							4
4778	5291	Ordinance		3	1972	Approving the petition of certain freeholders of Shrewsbury Township for the annexation of certain territory of Shrewsbury Township by and to Shrewsbury Borough and directing the President of the Borough Council of Shrewsbury Borough to proceed according to law to effect said annexation			1972-01-05		1972-01-05		t			\N							
4779	5291	Ordinance		62		Annexing a portion of land of Shrewsbury Township to the Borough of Shrewsbury			1964-05-06				t			\N							
4780	5291	Ordinance		73		Annexing certain territory of Shrewsbury Township, York County, Pennsylvania			1967-04-05		1967-04-05		t			\N							
