eventid	eventtype	eventmethod	eventlong	eventfrom	eventto	eventgranted	eventeffective	eventeffectivetypestatutory	eventeffectivetypepresumedsource	eventisrelevant	eventeffectiveorder	eventismapped	eventismappedtype	government
9574	2	5	Spring City Borough Ordinance 228	1968	1968	no		\N	\N		0	t		\N
9575	91	3	Springfield Township-Codorus Township 1910 School District Annexation	1910	1910	unknown		\N	\N		0	f		\N
9576	4	3	Shrewsbury Township-Springfield Township 1900s Boundary Ascertainment	1899	1899	unknown		\N	\N		0	f		\N
9577	36	3	East Springfield Township Proposed 1856 Creation	1856	1857	no		\N	\N		0	f		\N
9578	36	7	Springfield Township 1686 Creation	1686	1686	yes	1686-~04-~08QJ	\N	25		0	t		\N
9580	45	7	Saint Clair Area School District 1967 Election Regions	1967	1967	unknown		\N	\N		0	f		\N
9581	2	5	Saint Clair Borough Ordinance 232	1969	1969	unknown		\N	\N		0	f		\N
9582	40	1	Saint Marys Borough 1850 Plat Recording	1849	1850	yes		\N	\N		0	f		\N
9583	89	3	Saint Thomas Township Proposed 1876 Independent School District	1876	1876	unknown		\N	\N		0	f		\N
9584	2	5	State College Borough Ordinance 32 and 49	1909	1909	yes	1917-02-21	\N	67		0	t		\N
9585	2	5	State College Borough Ordinance 35 and 51	1909	1909	yes	1917-02-21	\N	67		0	t		\N
9586	2	5	State College Borough Ordinance 39 and 50	1912	1912	yes	1917-02-21	\N	67		0	t		\N
9587	2	5	Steelton Borough 3rd Extension	1887	1887	yes	1887-07-13	\N	67		0	t		\N
9588	2	5	Steelton Borough 7th Extension	1897	1897	yes	1897-12-16	\N	67		0	t		\N
9589	89	3	Sterling Township Proposed 1862 Independent School District	1862	1862	unknown		\N	\N		0	f		\N
9590	2	5	Stillwater Borough Ordinance 3	1907	1907	unknown		\N	\N		0	f		\N
9591	48	3	Stonycreek Township Proposed 1925 2nd Class	1925	1925	no		\N	\N		0	f		\N
9592	89	3	Strasburg Township Proposed 1879 Independent School District	1879	1879	no		\N	\N		0	f		\N
9593	4	7	Stroudsburg Borough-Stroud Township 1994 Boundary Realignment	1994	1994	unknown		\N	\N		0	f		\N
9594	9	2	East Stroudsburg Borough-Hamilton Township-Middle Smithfield Township-Price Township-Smithfield Township-Stroud Township-Stroudsburg Borough Proposed 1991 Consolidation	1991	1991	no		\N	\N		0	f		\N
9595	30	3	Summit Hill Borough Proposed 1881 Creation	1881	1881	no		\N	\N		0	f		\N
9596	89	3	Sumneytown Independent School District 1883 Creation	1882	1883	yes	1883-06-04	\N	217		0	f		\N
9597	36	3	Susquehanna Township Proposed 1879 Division	1879	1879	no		\N	\N		0	f		\N
9598	30	3	Sutersville Borough Proposed 1897 Creation	1897	1897	no		\N	\N		0	f		\N
9599	24	7	Swarthmore Borough Proposed 1972 Home Rule	1972	1972	no		\N	\N		0	f		\N
9600	36	3	Swatara Township 1821 Creation	1821	1821	yes	1821-~08-~08	\N	43		0	t		\N
9601	30	3	Swissvale Borough Proposed 1897 Creation	1897	1897	no		\N	\N		0	f		\N
9602	2	5	Tamaqua Borough Ordinance 55	1907	1907	yes	1907-10-31	\N	67		0	t		\N
9603	40	7	Tarentum Borough 1891 Plat Recording	1891	1891	unknown		\N	\N		0	f		\N
9604	40	7	Tarentum Borough 1885 Plat Recording	1885	1885	unknown		\N	\N		0	f		\N
9605	2	5	Tatamy Borough 1904 Ordinance	1904	1904	yes	1904-09-30	\N	71		0	t		\N
9607	91	3	Texas Township-Honesdale Borough 1886 School District Annexation	1885	1886	yes	1886-06-07	\N	206		0	f		\N
9608	91	3	Texas Township-Honesdale Borough Proposed 1875 School District Annexation	1875	1875	unknown		\N	\N		0	f		\N
9609	91	3	Texas Township-Honesdale Borough Proposed 1881 School District Annexation	1881	1881	unknown		\N	\N		0	f		\N
9610	91	3	Texas Township-Honesdale Borough Proposed 1890 School District Annexation	1890	1890	unknown		\N	\N		0	f		\N
9611	89	3	Texas Township Proposed 1878 Independent School District	1878	1878	unknown		\N	\N		0	f		\N
9612	36	7	Thornbury Township 1687 Creation	1687	1687	yes	1687-~07-~06QJ	\N	25		0	t		\N
9613	2	3	Tinicum Township-Plumstead Township Proposed 1860 Annexation	1860	1860	unknown		\N	\N		0	f		\N
9614	36	3	Tinicum Township Proposed 1761 Division	1761	1761	unknown		\N	\N		0	f		\N
9615	89	3	Tinicum Township 1868 Independent School District	1865	1868	yes	1868-06-01	\N	206		0	f		\N
9616	4	3	Middlebury Township-Richmond Township to Tioga Township 1861 Boundary Ascertainment	1860	1861	yes	1861-02-07	\N	34		0	f		\N
9617	2	3	Tioga Township-Tioga Borough Proposed 1889 Annexation	1889	1889	no		\N	\N		0	f		\N
9618	89	3	Towamencin Township Proposed 1870s Independent School District	1870	1880	unknown		\N	\N		0	f		\N
9619	2	5	Towanda Borough 1867 Ordinance	1867	1867	unknown		\N	\N		0	f		\N
9620	36	3	Tredyffrin Township Proposed 1891 Division	1891	1891	no		\N	\N		0	f		\N
9621	36	3	Tredyffrin Township Proposed 1892 Division	1892	1892	no		\N	\N		0	f		\N
9622	45	7	Tri-Valley School District 1967 Election Regions	1967	1967	unknown		\N	\N		0	f		\N
9623	2	5	Tullytown Borough Ordinance 12	1898	1898	yes	1898-04-02	\N	34		0	t		\N
9624	2	3	Tunkhannock Township-Nicholson Township Proposed 1838 Annexation	1838	1838	unknown		\N	\N		0	f		\N
9625	36	3	Nicholson Township-Tunkhannock Township Proposed 1838 New Township	1838	1838	unknown		\N	\N		0	f		\N
9626	24	7	Tunkhannock Borough Proposed 1974 Home Rule	1974	1974	no		\N	\N		0	f		\N
9627	30	3	Two Ponds Borough Proposed 1983 Creation	1983	1983	no		\N	\N		0	f		\N
9628	91	3	Tyrone Township-Landisburg Borough 1901 School District Annexation	1901	1901	unknown		\N	\N		0	f		\N
9629	91	3	Tyrone Township-Landisburg Borough 1876 School District Annexation	1875	1876	yes	1876-06-05	\N	206		0	f		\N
9630	91	3	Union Township-Hunlock Township Proposed 1879 School District Annexation	1879	1879	unknown		\N	\N		0	f		\N
9631	2	7	Union Township-Pittsburgh City Proposed 1924 Annexation	1924	1924	no		\N	\N		0	f		\N
9632	36	3	Union Township Proposed 1852 Creation	1852	1852	no		\N	\N		0	f		\N
9633	2	5	Union Township 1962 Ordinance	1962	1962	unknown		\N	\N		0	f		\N
9634	36	3	Union Township Proposed 1834 Creation	1834	1834	no		\N	\N		0	f		\N
9635	24	7	Union City Borough Proposed 1992 Home Rule	1992	1992	no		\N	\N		0	f		\N
9636	23	7	Union County Proposed 1973 Home Rule	1973	1973	no		\N	\N		0	f		\N
9637	2	5	Uniontown Borough Ordinance 105	1912	1912	yes	1912-03-28	\N	67		0	t		\N
9638	24	7	Unity Township Proposed 1974 Home Rule	1974	1974	no		\N	\N		0	f		\N
9639	2	5	Upper Allen Township Ordinance 190	1973	1976	no		\N	\N		0	t		\N
9640	36	3	Upper Bern Township 1820 Creation	1820	1820	yes	1820-~01-~01	\N	144		0	t		\N
9641	36	3	Upper Darby Township 1786 Creation	1786	1786	yes	1786-08-30	\N	34		0	t		\N
9643	24	7	Upper Makefield Township Proposed 1975 Home Rule	1975	1975	no		\N	\N		0	f		\N
9644	17	3	Upper Providence Township 1878 Election Districts	1878	1878	yes	1878-12-02	\N	37		0	f		\N
9645	36	3	Upper Providence Township Proposed 1864 Division	1864	1864	no		\N	\N		0	f		\N
9646	89	3	Trappe Independent School District 1880 Creation	1880	1880	yes	1880-06-07	\N	221		0	f		\N
9647	17	3	Upper Salford Township 1878 Election Districts	1877	1878	yes	1878-07-~01	\N	37		0	f		\N
9648	4	3	Uwchlan Township-West Whiteland Township 1828 Boundary Realignment	1828	1828	yes	1828-08-06	\N	34		0	f		\N
9649	2	3	West Whiteland Township-Uwchlan Township 1982 Annexation	1982	1982	yes	1982-11-24	\N	34		0	f		\N
9650	4	3	East Fallowfield Township-Valley Township Proposed 1960 Boundary Ascertainment	1960	1960	unknown		\N	\N		0	f		\N
9651	2	3	Valley Township-Sadsbury Township Proposed 1894 Annexation	1894	1894	no		\N	\N		0	f		\N
9652	2	5	Vandergrift Borough Ordinance 42	1912	1912	yes	1912-11-22	\N	71		0	t		\N
9653	2	5	Vandergrift Borough Ordinance 50	1913	1913	yes	1913-09-09	\N	67		0	t		\N
9654	4	3	Bald Eagle Township-Walker Township 1817 Boundary Realignment	1815	1817	yes	1817-08-27	\N	34		0	f		\N
9655	2	7	Walker Township-Tamaqua Borough Proposed 2002 Annexation	2002	2002	no		\N	\N		0	f		\N
9656	89	3	Wampum Independent School District 1873 Creation	1872	1873	yes	1873-06-02	\N	206		0	f		\N
9657	89	3	Warminster Township Proposed 1892 Independent School District	1892	1892	unknown		\N	\N		0	f		\N
9658	2	5	Warren Borough 1872 Ordinance	1872	1872	yes	1872-05-27	\N	69		0	t		\N
9659	2	5	Warren Borough Ordinance 24, bk. IV	1906	1906	yes	1906-04-28	\N	71		0	t		\N
9660	2	5	Warren Borough Ordinance 256	1935	1935	yes	1935-12-03	\N	67		0	t		\N
9661	2	5	Warren Borough Ordinance 257	1935	1935	yes	1935-12-03	\N	67		0	t		\N
9662	2	5	Warren Borough Ordinance 28, bk. III and 33, bk. III	1904	1904	yes	1904-04-18	\N	67		0	t		\N
9664	2	5	Warren Borough Ordinance 59, bk. VII	1917	1917	yes	1917-01-09	\N	67		0	t		\N
9665	2	5	Warren Borough Ordinance of 1 November 1897	1897	1897	yes	1897-11-01	\N	67		0	t		\N
9666	2	5	Warren Borough Ordinance of 15 November 1897	1897	1897	yes	1897-11-15	\N	67		0	t		\N
9667	4	3	Warrington Township-Washington Township 1880s Boundary Realignment	1880	1880	unknown		\N	\N		0	f		\N
9668	2	3	Warwick Township-East Nantmeal Township 1871 Annexation	1871	1871	yes	1871-11-25	\N	34		0	t		\N
9669	24	7	Washington Township Proposed 1975 Home Rule	1975	1975	no		\N	\N		0	f		\N
9670	36	3	Washington Township (Lebanon) Proposed 1845 Creation (2)	1845	1845	no		\N	\N		0	f		\N
9671	2	5	Washington Borough (Washington) Ordinance 5	1854	1854	yes	1854-06-10	\N	76		0	t		\N
9672	2	5	Washington Borough (Washington) Ordinance 7	1854	1855	yes	1855-01-06	\N	76		0	t		\N
9673	2	5	Washington Borough Ordinance of 21 August 1903	1903	1903	yes	1903-09-02	\N	77		0	t		\N
9674	2	5	Waynesboro Borough Ordinance 184	1915	1915	yes	1915-03-24	\N	71		0	t		\N
9675	9	5	Waynesburg Borough 1873 Ordinance	1873	1873	no		\N	\N		0	t		\N
9676	24	7	Waynesburg Borough Proposed 1980 Home Rule	1980	1980	no		\N	\N		0	f		\N
9677	2	3	West Township-Porter Township Proposed 1838 Annexation	1838	1838	unknown		\N	\N		0	f		\N
9678	4	3	West Carroll Township Proposed 1916 Boundary Ascertainment	1916	1916	unknown		\N	\N		0	f		\N
9679	36	3	West Codorus Township Proposed 1899 Creation	1899	1899	no		\N	\N		0	f		\N
9680	9	3	West Easton Borough-Easton City Proposed 1927 Merger	1927	1927	no		\N	\N		0	f		\N
9681	2	5	West Greenville Borough 1864 Ordinance	1864	1864	unknown		\N	\N		0	f		\N
9682	2	5	West Hazleton Borough Ordinance 3-1955	1955	1957	no		\N	\N		0	f		\N
9683	2	5	West Indiana Borough 1892 Ordinance	1892	1892	yes	1892-02-05	\N	69		0	t		\N
9684	2	5	West Kittanning Borough 1966 Ordinance	1966	1971	yes	1970-05-27	\N	34		0	t		\N
9685	24	7	West Liberty Borough Proposed 1976 Home Rule	1976	1976	no		\N	\N		0	f		\N
9686	30	3	West Newton Borough Proposed 1840 Creation	1840	1840	unknown		\N	\N		0	f		\N
9687	2	3	Westfield Township-Brookfield Township 1833 Annexation	1833	1833	yes		\N	\N		0	f		\N
9688	36	7	Westtown Township 1689 Creation	1689	1689	yes	1689-~04-~04QJ	\N	25		0	f		\N
9689	21	7	White Township Proposed 1930 1st Class	1930	1930	no		\N	\N		0	f		\N
9690	89	3	South Whitehall Township-Whitehall Township Proposed 1869 Independent School District	1869	1869	no		\N	\N		0	f		\N
9691	89	3	Whitehall Township Proposed 1869 Independent School District (Butz)	1869	1869	unknown		\N	\N		0	f		\N
9692	89	3	Whitehall Township Proposed 1869 Independent School District (Marsteller)	1869	1869	unknown		\N	\N		0	f		\N
9693	36	3	East Whiteland Township-West Whiteland Township 1765 Creation	1765	1765	yes	1765-02-26	\N	34		0	f		\N
9694	17	3	Whitemarsh Township 1875 Election Districts	1875	1875	yes	1875-07-02	\N	37		0	f		\N
9695	2	5	Wilkes-Barre Borough Ordinance of May 1870	1870	1870	yes	1870-05-02	\N	67		0	t		\N
9696	2	5	Wilkes-Barre Borough Ordinance of October 1870	1870	1870	yes	1870-10-29	\N	69		0	t		\N
9697	2	5	Wilkes-Barre City 1892 Ordinance	1892	1907	no		\N	\N		0	f		\N
9698	2	5	Wilkes-Barre City Common Ordinance 1, 1909	1909	1909	yes	1909-06-11	\N	67		0	t		\N
9699	2	5	Wilkes-Barre City Common Ordinance 13, 1908	1908	1908	yes	1908-11-28	\N	67		0	t		\N
9700	2	5	Wilkes-Barre City Common Ordinance 6, 1907	1907	1907	yes	1907-11-29	\N	67		0	t		\N
9701	2	5	Wilkes-Barre City Ordinance 424 (Parcels 2-3)	1922	1922	yes	1922-04-21	\N	112		0	t		\N
9702	2	5	Turtle Creek Borough Ordinance 450	1925	1926	no		\N	\N		0	f		\N
9703	2	3	Wilkinsburg Borough-Sterrett Township Proposed 1888 Annexation	1888	1888	no		\N	\N		0	f		\N
9704	2	5	Wilkinsburg Borough Ordinance 117	1902	1902	no		\N	\N		0	t		\N
9705	30	3	Wilkinsburg Borough Proposed 1885 Creation	1885	1885	no		\N	\N		0	f		\N
9706	30	3	Wilkinsburg Borough Proposed 1886 Creation	1886	1886	no		\N	\N		0	f		\N
9707	2	5	Easton City Ordinance 1652	1960	1960	no		\N	\N		0	t		\N
9708	2	2	Williams Township-Easton City Proposed 1989 Annexation	1989	1989	no		\N	\N		0	f		\N
9709	2	5	Williamsburg Borough Ordinance 103	1923	1923	yes	1923-04-02	\N	67		0	t		\N
9710	2	5	Williamsburg Borough Ordinance 105	1923	1923	yes	1923-09-19	\N	135		0	t		\N
9711	2	5	Williamsburg Borough Ordinance 122	1935	1935	no		\N	\N		0	t		\N
9712	2	5	Williamsport Borough 1858 Ordinance	1858	1858	yes	1858-02-11	\N	69		0	t		\N
9713	2	5	Williamsport Borough 1862 Ordinance	1862	1862	yes	1862-01-06	\N	69		0	t		\N
9714	9	5	Wilmerding Borough-East McKeesport Borough Proposed 1922 Consolidation	1922	1922	no		\N	\N		0	f		\N
9715	2	5	Wilmerding Borough Ordinance 351	1925	1925	yes	1925-03-31	\N	91		0	t		\N
9716	21	3	Wilson Township 1914 1st Class	1913	1914	yes	1914-01-05	\N	225		0	f		\N
9717	30	3	Windsor Borough Proposed 1904 Creation (2)	1904	1904	no		\N	\N		0	f		\N
9718	2	3	Frankstown Township-Woodbury Township to Catharine Township Proposed 1847 Annexation	1847	1847	unknown		\N	\N		0	f		\N
9719	2	5	Yardley Borough Ordinance 64	1927	1927	yes	1927-03-17	\N	67		0	t		\N
9720	2	5	Yoe Borough 1937 Ordinance	1937	1937	yes	1937-06-07	\N	67		0	t		\N
9721	31	7	York City Proposed 1882 Creation	1882	1882	no		\N	\N		0	f		\N
9722	2	5	Youngwood Borough 1968 Ordinance	1968	1968	yes	1968-01-29	\N	71		0	t		\N
9723	36	4	New Hanover Township 1723 Creation	1723	1723	yes	1723-12-02J	\N	109		0	f		\N
9724	36	4	Readington Township 1730 Creation	1730	1730	yes	1730-07-15J	\N	109		0	f		\N
9725	36	3	Egg Harbor Township 1739 Creation	1739	1739	yes	1739[-02-13J	\N	34		0	f		\N
9726	36	3	Roxbury Township 1740 Creation	1740	1740	yes	1740-12-24J	\N	34		0	f		\N
9727	36	3	Mendham Township 1749 Creation	1749	1749	yes	1749-03-29J	\N	34		0	f		\N
9728	36	4	Hardwick Township 1749 Creation	1749	1749	yes	1749[-01-22J	\N	47		0	f		\N
9729	36	4	Stafford Township 1749 Creation	1749	1749	yes	1749[-03-03J	\N	109		0	f		\N
9730	100	3	Sussex County 1754 Precinct Division	1754	1754	yes	1754-05-30	\N	34		0	f		\N
9732	36	4	Montague Township 1759 Creation	1759	1759	yes	1759-03-26	\N	47		0	f		\N
9733	36	4	Hardyston Township 1762 Creation	1762	1762	yes	1762-02-25	\N	109		0	f		\N
9734	36	4	Sandyston Township 1762 Creation	1762	1762	yes	1762-02-26	\N	109		0	f		\N
9735	36	4	Knowlton Township 1763 Creation	1763	1763	yes	1763-02-23	\N	109		0	f		\N
9736	36	4	Alexandria Township 1765 Creation	1765	1765	yes	1765-03-05	\N	109		0	f		\N
9737	36	4	Woolwich Township 1767 Creation	1767	1767	yes	1767-03-07	\N	109		0	f		\N
9738	2	1	Shrewsbury Township-Freehold Township 1768 Annexation	1767	1768	yes	1768-03-01	\N	4		0	f		\N
9739	2	1	Shrewsbury Township-Upper Freehold Township 1768 Annexation	1767	1768	yes	1768-03-01	\N	4		0	f		\N
9740	36	4	Pittsgrove Township 1769 Creation	1769	1769	yes	1769-12-06	\N	109		0	f		\N
9741	36	4	Franklin Township 1771 Creation	1771	1771	yes	1771-06-01	\N	109		0	f		\N
9742	36	4	Galloway Township 1774 Creation	1774	1774	yes	1774-04-04	\N	109		0	f		\N
9743	36	4	Harrington Township 1775 Creation	1775	1775	yes	1775-06-22	\N	109		0	f		\N
9744	7	1	Perth Amboy City 1784 Charter Revival	1784	1784	yes	1784-12-21	\N	1		0	f		\N
9745	31	1	Trenton City 1792 Creation	1792	1792	yes	1792-11-13	\N	1		0	f		\N
9746	36	1	Vernon Township 1793 Creation	1792	1793	yes	1793-04-08	\N	4		0	f		\N
9748	36	1	Springfield Township 1794 Creation	1793	1794	yes	1794-04-14	\N	4		0	f		\N
9749	36	1	Westfield Township 1794 Creation	1794	1794	yes	1794-01-27	\N	1		0	f		\N
9750	36	1	Frankford Township 1797 Creation	1797	1797	yes	1797-04-10	\N	4		0	f		\N
9751	36	1	Pompton Township 1797 Creation	1797	1797	yes	1797-04-10	\N	4		0	f		\N
9752	36	1	Byram Township 1798 Creation	1798	1798	yes	1798-04-09	\N	4		0	f		\N
9753	36	1	Caldwell Township 1798 Creation	1798	1798	yes	1798-02-16	\N	1		0	f		\N
9754	36	1	Washington Township 1798 Creation	1798	1798	yes	1798-04-02	\N	4		0	f		\N
9755	36	1	Weymouth Township 1798 Creation	1798	1798	yes	1798-02-12	\N	1		0	f		\N
9756	36	1	Chester Township 1799 Creation	1799	1799	yes	1799-04-01	\N	4		0	f		\N
9757	4	1	Chester Township-Evesham Township 1801 Boundary Realignment	1801	1801	yes	1801-02-23	\N	1		0	f		\N
9758	36	1	Howell Township 1801 Creation	1801	1801	yes	1801-02-23	\N	1		0	f		\N
9759	4	3	Montague Township-Sandyston Township 1801 Boundary Ascertainment	1801	1801	yes		\N	\N		0	f		\N
9760	4	1	New Brunswick City 1801 Boundary Realignment	1801	1801	yes	1801-02-23	\N	1		0	f		\N
9761	36	1	Millville Township 1802 Creation	1801	1802	yes	1802-03-01	\N	4		0	f		\N
9762	36	1	Washington Township (NJ) 1802 Creation	1802	1802	yes	1802-11-19	\N	1		0	f		\N
9763	36	1	Jefferson Township 1804 Creation	1804	1804	yes	1804-02-11	\N	1		0	f		\N
9764	36	1	Rahway Township 1804 Creation	1804	1804	yes	1804-02-27	\N	1		0	f		\N
9765	2	1	Elizabeth Borough 1805 Detachment	1805	1805	yes	1805-11-06	\N	1		0	f		\N
9766	36	1	Chatham Township 1806 Creation	1806	1806	yes	1806-03-10	\N	4		0	f		\N
9767	2	1	Randolph Township-Chester Township 1806 Annexation	1806	1806	yes	1806-03-03	\N	1		0	f		\N
9768	36	1	Randolph Township 1806 Creation	1805	1806	yes	1806-01-01	\N	4		0	f		\N
9769	36	1	Warren Township 1806 Creation	1806	1806	yes	1806-03-05	\N	1		0	f		\N
9770	36	1	Orange Township 1807 Creation	1806	1807	yes	1807-03-03	\N	4		0	f		\N
9771	36	1	Union Township 1808 Creation	1808	1808	yes	1808-11-23	\N	1		0	f		\N
9772	36	1	New Providence Township 1810 Creation	1809	1810	yes	1810-03-26	\N	4		0	f		\N
9773	36	1	Bloomfield Township 1812 Creation	1812	1812	yes	1812-03-23	\N	4		0	f		\N
9774	4	1	Hopewell Township-Stow Creek Township 1812 Boundary Realignment	1812	1812	yes	1812-01-24	\N	1		0	f		\N
9775	36	1	Hamilton Township 1813 Creation	1813	1813	yes	1813-02-05	\N	1		0	f		\N
9776	36	1	Livingston Township 1813 Creation	1813	1813	yes	1813-02-05	\N	1		0	f		\N
9777	30	1	Princeton Borough 1813 Creation	1813	1813	yes	1813-02-11	\N	1		0	f		\N
9778	34	1	Lawrence Township (NJ) 1816 Creation	1816	1816	yes	1816-01-24	\N	1		0	f		\N
9779	36	1	Franklin Township 1820 Creation	1820	1820	yes	1820-01-27	\N	1		0	f		\N
9780	31	1	Jersey City City 1820 Creation	1820	1820	yes	1820-01-28	\N	1		0	f		\N
9781	36	1	Centreville Township 1822 Creation	1821	1822	yes	1822-03-01	\N	4		0	f		\N
9782	4	1	Princeton Borough 1822 Boundary Realignment	1822	1822	yes	1822-11-27	\N	1		0	f		\N
9783	2	1	Pittsgrove Township-Centreville Township 1823 Annexation	1823	1823	yes	1823-11-19	\N	1		0	f		\N
9784	36	1	Green Township-Stillwater Township 1824 Creation	1824	1824	yes	1824-12-27	\N	1		0	f		\N
9785	36	1	Pahaquarry Township 1824 Creation	1824	1824	yes	1824-12-27	\N	1		0	f		\N
9787	33	1	Warren County 1824 Creation	1824	1824	yes	1824-11-20	\N	1		0	f		\N
9788	30	1	Bordentown Borough 1825 Creation	1825	1825	yes	1825-12-09	\N	1		0	f		\N
9789	4	1	Frankford Township-Wantage Township 1826 Boundary Realignment	1826	1826	yes	1826-11-06	\N	1		0	f		\N
9790	36	1	Lodi Township 1826 Creation	1825	1826	yes	1826-03-01	\N	4		0	f		\N
9791	30	1	Pemberton Borough 1826 Creation	1826	1826	yes	1826-12-15	\N	1		0	f		\N
9792	36	1	Dennis Township 1827 Creation	1826	1827	yes	1827-03-01	\N	4		0	f		\N
9793	31	1	Camden City 1828 Creation	1828	1828	yes	1828-02-13	\N	1		0	f		\N
9794	9	1	Centreville Township-Pittsgrove Township 1829 Merger	1829	1829	yes	1829-02-18	\N	1		0	f		\N
9795	2	1	Green Township-Byram Township 1829 Annexation	1829	1829	yes	1829-02-05	\N	1		0	f		\N
9796	5	1	Jersey City City 1829 Charter Amendment	1829	1829	yes	1829-01-23	\N	1		0	f		\N
9797	36	1	Paterson Township 1831 Creation	1831	1831	yes	1831-04-11	\N	4		0	f		\N
9798	2	1	Pequannock Township-Randolph Township 1831 Annexation	1831	1831	yes	1831-01-25	\N	1		0	f		\N
9799	2	1	Trenton City-Trenton Township 1831 Annexation	1831	1831	yes	1831-02-14	\N	1		0	f		\N
9800	36	1	Union Township 1831 Creation	1831	1831	yes	1831-11-15	\N	1		0	f		\N
9801	36	1	Camden Township 1832 Creation	1831	1832	yes	1832-03-01	\N	4		0	f		\N
9802	2	1	Readington Township-Tewksbury Township 1832 Annexation	1832	1832	yes	1832-03-15	\N	1		0	f		\N
9803	36	1	Clinton Township (NJ) 1834 Creation	1834	1834	yes	1834-04-14	\N	4		0	f		\N
9804	36	1	Ewing Township 1834 Creation	1834	1834	yes	1834-03-01	\N	4		0	f		\N
9805	4	3	Frankford Township-Wantage Township 1834 Boundary Ascertainment	1834	1834	yes		\N	\N		0	f		\N
9806	2	1	Wantage Township-Frankford Township 1834 Annexation	1834	1834	yes	1834-02-18	\N	1		0	f		\N
9807	36	1	West Milford Township 1834 Creation	1834	1834	yes	1834-03-10	\N	4		0	f		\N
9808	31	1	Newark City 1836 Creation	1836	1836	yes	1836-04-11	\N	4		0	f		\N
9809	36	1	Washington Township 1836 Creation	1836	1836	yes	1836-02-17	\N	1		0	f		\N
9810	33	1	Atlantic County 1837 Creation	1837	1837	yes	1837-03-08	\N	98		0	f		\N
9811	33	1	Passaic County 1837 Creation	1837	1837	yes	1837-04-10	\N	98		0	f		\N
9812	10	1	Trenton Township-Trenton City 1837 Separation	1837	1837	yes	1837-04-10	\N	4		0	f		\N
9813	36	1	Delaware Township-Raritan Township 1838 Creation	1838	1838	yes	1838-04-02	\N	4		0	f		\N
9814	10	1	Jersey City City 1838 Separation	1838	1838	yes		\N	\N		0	f		\N
9815	33	1	Mercer County 1838 Creation	1838	1838	yes	1838-04-09	\N	4		0	f		\N
9816	36	1	Mullica Township 1838 Creation	1838	1838	yes	1838-03-14	\N	4		0	t		\N
9817	2	1	New Brunswick City 1838 Detachment?	1838	1838	yes	1838-05-14	\N	4		0	f		\N
9818	36	1	Belleville Township 1839 Creation	1839	1839	yes	1839-04-08	\N	4		0	f		\N
9819	2	1	Bergen Township-Jersey City City 1839 Annexation	1839	1839	yes	1839-03-08	\N	1		0	f		\N
9820	36	1	Franklin Township 1839 Creation	1839	1839	yes	1839-04-08	\N	4		0	f		\N
9821	36	1	Harmony Township 1839 Creation	1839	1839	yes	1839-04-08	\N	4		0	f		\N
9822	36	1	Hope Township 1839 Creation	1839	1839	yes	1839-04-08	\N	4		0	f		\N
9823	2	1	Knowlton Township-Oxford Township 1839 Annexation	1839	1839	yes	1839-04-08	\N	4		0	f		\N
9824	9	1	Marion Township-Hopewell Township 1839 Merger	1839	1839	yes	1839-04-08	\N	4		0	f		\N
9825	33	1	Hudson County 1840 Creation	1840	1840	yes	1840-04-13	\N	4		0	f		\N
9826	30	1	South Trenton Borough 1840 Creation	1840	1840	yes	1840-02-28	\N	1		0	f		\N
9827	2	1	Washington Township-Chester Township 1840 Annexation	1840	1840	yes	1840-02-19	\N	1		0	f		\N
9828	36	1	Washington Township (NJ) 1840 Creation	1840	1840	yes	1840-04-13	\N	4		0	f		\N
9829	36	1	Clinton Township 1841 Creation	1841	1841	yes	1841-04-12	\N	4		0	f		\N
9830	2	1	New Providence Township-Westfield Township 1841 Annexation	1841	1841	yes	1841-03-10	\N	1		0	f		\N
9831	36	1	Van Vorst Township 1841 Creation	1841	1841	yes	1841-04-12	\N	4		0	f		\N
9832	4	3	Byram Township-Green Township-Newton Township 1842 Boundary Ascertainment	1842	1842	yes		\N	\N		0	f		\N
9833	36	1	Hamilton Township 1842 Creation	1842	1842	yes	1842-04-11	\N	4		0	f		\N
9834	36	1	North Bergen Township 1843 Creation	1843	1843	yes	1843-04-10	\N	4		0	f		\N
9835	4	1	Princeton Township-West Windsor Township 1843 Boundary Realignment	1843	1843	yes	1843-02-17	\N	1		0	f		\N
9836	33	1	Camden County 1844 Creation	1844	1844	yes	1844-03-13	\N	1		0	f		\N
9837	36	1	Columbia Township 1844 Creation	1844	1844	yes	1844-03-12	\N	4		0	f		\N
9838	36	1	Delaware Township 1844 Creation	1844	1844	yes	1844-03-12	\N	4		0	t		\N
9839	2	1	Franklin Township-Washington Township 1844 Annexation	1844	1844	yes	1844-03-13	\N	1		0	f		\N
9840	2	1	Hunterdon County-Somerset County 1844 Annexation	1844	1844	yes	1844-04-08	\N	4		0	f		\N
9841	36	1	Jackson Township (NJ) 1844 Creation	1844	1844	yes	1844-03-06	\N	1		0	f		\N
9842	2	1	Maurice River Township-Upper Township 1844 Annexation	1844	1844	yes	1844-04-08	\N	4		0	f		\N
9843	2	1	Mercer County-Hunterdon County 1844 Annexation	1844	1844	yes	1844-04-08	\N	4		0	f		\N
9844	36	1	Millstone Township 1844 Creation	1844	1844	yes	1844-02-28	\N	1		0	f		\N
9845	2	1	New Brunswick City 1844 Detachment	1844	1844	yes	1844-05-13	\N	4		0	f		\N
